LOCSF,MODIFIER,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID
M,3~~~~,NS,C,BWT,NSBWT3~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,3~~~~,NS,D,HTN,NSHTN3~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
M,3~~~~,NS,C,GIB,NSGIB3~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
M,3~~~~,NS,C,GIB,NSGIB3~~~~N
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,3~~~~,NS,C,GIB,NSGIB3~~~~N
M,3~~~~,NS,C,BWT,NSBWT3~~~~N
M,3~~~~,NS,C,HWL,NSHWL3~~~~N
M,6~~~~,NS,B,APG,NSAPG6~~~~N
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
U,2~~~~,NS,B,NUX,NSNUX2~~~~A
U,5~~~~,NS,B,GIB,NSGIB5~~~~N
U,5~~~~,NS,B,BWT,NSBWT5~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
U,6~~~~,NS,A,APG,NSAPG6~~~~N
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,3~~~~,NS,C,BWT,NSBWT3~~~~N
M,2~~~~,NS,C,HBT,NSHBT2~~~~A
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
U,5~~~~,NS,B,HTN,NSHTN5~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,6~~~~,NS,A,APG,NSAPG6~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
U,6~~~~,NS,A,APG,NSAPG6~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
U,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,2~~~~,NS,C,TBO,NSTBO2~~~~A
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
U,6~~~~,NS,A,APG,NSAPG6~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
L,~~~~~,NS,A,ZCB,NSZCB~~~~~N
R,~~~~~,NS,D,ZCB,NSZCB~~~~~N
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
M,3~~~~,NS,C,BWT,NSBWT3~~~~N
U,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,2~~~~,NS,B,HBT,NSHBT2~~~~A
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
U,5~~~~,NS,B,HTN,NSHTN5~~~~N
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
M,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
L,~~~~~,NS,A,ZCB,NSZCB~~~~~N
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,3~~~~,NS,C,BWT,NSBWT3~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
M,6~~~~,NS,B,APG,NSAPG6~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
M,5~~~~,NS,B,HFX,NSHFX5~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
L,~~~~~,NS,A,ZCB,NSZCB~~~~~N
M,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
M,5~~~~,NS,B,BWT,NSBWT5~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,3~~~~,NS,C,BWT,NSBWT3~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
L,~~~~~,NS,A,ZCB,NSZCB~~~~~N
L,7~~~~,NS,A,ZSM,NSZSM7~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
M,5~~~~,NS,B,WFV,NSWFV5~~~~A
M,3~~~~,NS,C,BWT,NSBWT3~~~~N
M,6~~~~,NS,B,APG,NSAPG6~~~~N
M,3~~~~,NS,B,HFX,NSHFX3~~~~N
M,3~~~~,NS,C,HWL,NSHWL3~~~~N
M,5~~~~,NS,B,HWL,NSHWL5~~~~N
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,3~~~~,NS,C,GIB,NSGIB3~~~~N
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,5~~~~,NS,B,GIB,NSGIB5~~~~N
M,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,6~~~~,NS,B,APG,NSAPG6~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
B13,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,3~~~~,NS,B,GIB,NSGIB3~~~~N
M,3~~~~,NS,B,HFX,NSHFX3~~~~N
M,3~~~~,NS,B,HTN,NSHTN3~~~~N
M,3~~~~,NS,C,BWT,NSBWT3~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,3~~~~,NS,B,BWT,NSBWT3~~~~N
M,3~~~~,NS,C,BWT,NSBWT3~~~~N
M,3~~~~,NS,B,BWT,NSBWT3~~~~N
M,3~~~~,NS,C,BWT,NSBWT3~~~~N
M,3~~~~,NS,B,HWL,NSHWL3~~~~N
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,3~~~~,NS,D,RAY,NSRAY3~~~~N
M,3~~~~,NS,D,HWL,NSHWL3~~~~N
M,5~~~~,NS,C,RAY,NSRAY5~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,6~~~~,NS,B,RAY,NSRAY6~~~~N
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
U,3~~~~,NS,B,HFX,NSHFX3~~~~N
U,3~~~~,NS,B,HTN,NSHTN3~~~~N
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,2~~~~,NS,C,HBT,NSHBT2~~~~A
U,5~~~~,NS,B,HTN,NSHTN5~~~~N
U,6~~~~,NS,B,APG,NSAPG6~~~~N
U,3~~~~,NS,B,HFX,NSHFX3~~~~N
U,5~~~~,NS,B,HBT,NSHBT5~~~~A
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
U,5~~~~,NS,B,HTN,NSHTN5~~~~N
U,3~~~~,NS,B,HFX,NSHFX3~~~~N
U,3~~~~,NS,B,HTN,NSHTN3~~~~N
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,5~~~~,NS,B,PHB,NSPHB5~~~~N
M,4~~~~,NS,C,PHB,NSPHB4~~~~N
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,6~~~~,NS,B,PHB,NSPHB6~~~~N
L,~~~~~,NS,A,ZCB,NSZCB~~~~~N
U,5~~~~,NS,B,BWT,NSBWT5~~~~N
U,2~~~~,NS,B,HBT,NSHBT2~~~~A
U,3~~~~,NS,C,BWT,NSBWT3~~~~N
U,6~~~~,NS,A,BWT,NSBWT6~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,5~~~~,NS,B,HBT,NSHBT5~~~~A
U,6~~~~,NS,A,HBT,NSHBT6~~~~A
U,5~~~~,NS,B,YUH,NSYUH5~~~~A
U,6~~~~,NS,A,YUH,NSYUH6~~~~N
U,5~~~~,NS,B,PHB,NSPHB5~~~~N
U,6~~~~,NS,B,PHB,NSPHB6~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,5~~~~,NS,B,HTN,NSHTN5~~~~N
U,6~~~~,NS,B,HTN,NSHTN6~~~~N
U,~~~~~,NS,B,ZRL,NSZRL~~~~~N
M,5~~~~,NS,B,YUH,NSYUH5~~~~A
M,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,3~~~~,NS,D,YUH,NSYUH3~~~~A
M,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
L,7~~~~,NS,A,ZSM,NSZSM7~~~~N
M,6~~~~,NS,A,YUH,NSYUH6~~~~N
M,5~~~~,NS,B,PHB,NSPHB5~~~~N
M,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,4~~~~,NS,C,PHB,NSPHB4~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,~~~~~,NS,B,ZRL,NSZRL~~~~~N
U,4~~~~,NS,B,YUH,NSYUH4~~~~A
U,5~~~~,NS,B,YUH,NSYUH5~~~~A
U,6~~~~,NS,A,APG,NSAPG6~~~~N
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
U,6~~~~,NS,A,YUH,NSYUH6~~~~N
M,3~~~~,NS,B,YUH,NSYUH3~~~~A
M,3~~~~,NS,D,HWL,NSHWL3~~~~N
M,5~~~~,NS,B,YUH,NSYUH5~~~~A
M,6~~~~,NS,A,YUH,NSYUH6~~~~N
M,~~~~~,NS,D,ZRL,NSZRL~~~~~N
U,6~~~~,NS,B,APG,NSAPG6~~~~N
U,5~~~~,NS,B,YUH,NSYUH5~~~~A
U,6~~~~,NS,B,YUH,NSYUH6~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,5~~~~,NS,B,HTN,NSHTN5~~~~N
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
U,6~~~~,NS,B,APG,NSAPG6~~~~N
U,6~~~~,NS,B,HTN,NSHTN6~~~~N
M,3~~~~,NS,C,HFX,NSHFX3~~~~N
M,5~~~~,NS,C,HFX,NSHFX5~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
L,7~~~~,NS,A,ZSM,NSZSM7~~~~N
U,2~~~~,NS,B,HBT,NSHBT2~~~~A
L,7~~~~,NS,A,ZSM,NSZSM7~~~~N
U,5~~~~,NS,B,YUH,NSYUH5~~~~A
U,6~~~~,NS,B,YUH,NSYUH6~~~~N
U,5~~~~,NS,B,YUH,NSYUH5~~~~A
U,6~~~~,NS,A,APG,NSAPG6~~~~N
U,5~~~~,NS,B,HFX,NSHFX5~~~~N
U,6~~~~,NS,A,YUH,NSYUH6~~~~N
U,5~~~~,NS,B,BWT,NSBWT5~~~~N
M,4~~~~,NS,C,YUH,NSYUH4~~~~A
U,5~~~~,NS,B,HTN,NSHTN5~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,6~~~~,NS,B,PHB,NSPHB6~~~~N
U,6~~~~,NS,B,HTN,NSHTN6~~~~N
U,2~~~~,NS,B,HBT,NSHBT2~~~~A
U,5~~~~,NS,B,PHB,NSPHB5~~~~N
L,7~~~~,NS,A,ZSM,NSZSM7~~~~N
M,4~~~~,NS,C,YUH,NSYUH4~~~~A
U,2~~~~,NS,B,HBT,NSHBT2~~~~A
U,6~~~~,NS,A,YUH,NSYUH6~~~~N
U,6~~~~,NS,B,APG,NSAPG6~~~~N
U,2~~~~,NS,B,HBT,NSHBT2~~~~A
U,2~~~~,NS,B,TBO,NSTBO2~~~~A
U,6~~~~,NS,B,YUH,NSYUH6~~~~N
U,5~~~~,NS,B,BWT,NSBWT5~~~~N
U,5~~~~,NS,B,YUH,NSYUH5~~~~A
L,7~~~~,NS,A,ZSM,NSZSM7~~~~N
M,3~~~~,NS,C,GIB,NSGIB3~~~~N
M,3~~~~,NS,C,HTN,NSHTN3~~~~N
M,6~~~~,NS,B,APG,NSAPG6~~~~N
M,5~~~~,NS,B,GIB,NSGIB5~~~~N
M,~~~~~,NS,C,ZRL,NSZRL~~~~~N
U,5~~~~,NS,B,PHB,NSPHB5~~~~N
U,5~~~~,NS,B,HTN,NSHTN5~~~~N
M,4~~~~,NS,C,PHB,NSPHB4~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,6~~~~,NS,B,PHB,NSPHB6~~~~N
U,6~~~~,NS,B,PHB,NSPHB6~~~~N
U,5~~~~,NS,B,PHB,NSPHB5~~~~N
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,6~~~~,NS,B,HTN,NSHTN6~~~~N
L,~~~~~,NS,A,ZCB,NSZCB~~~~~N
L,7~~~~,NS,A,ZSM,NSZSM7~~~~N
M,5~~~~,NS,B,WOB,NSWOB5~~~~A
M,4~~~~,NS,B,WOB,NSWOB4~~~~A
M,4~~~~,NS,C,WOB,NSWOB4~~~~A
M,6~~~~,NS,A,WOB,NSWOB6~~~~A
M,5~~~~,NS,C,WOB,NSWOB5~~~~A
M,2~~~~,NS,B,HBT,NSHBT2~~~~A
M,5~~~~,NS,B,HBT,NSHBT5~~~~A
M,6~~~~,NS,A,HBT,NSHBT6~~~~A
M,5~~~~,NS,B,QUE,NSQUE5~~~~A
M,5~~~~,NS,C,QUE,NSQUE5~~~~A
M,6~~~~,NS,A,QUE,NSQUE6~~~~A
M,5~~~~,NS,B,PGW,NSPGW5~~~~A
L,5~~~~,NS,A,STW,NSSTW5~~~~A
L,6~~~~,NS,A,STW,NSSTW6~~~~A
L,7~~~~,NS,A,CSY,NSCSY7~~~~N
M,5~~~~,NS,B,QUE,NSQUE5~~~~A
L,5~~~~,NS,A,STW,NSSTW5~~~~A
M,2~~~~,NS,B,HBT,NSHBT2~~~~A
M,5~~~~,NS,B,HBT,NSHBT5~~~~A
M,6~~~~,NS,A,QUE,NSQUE6~~~~A
U,3~~~~,NS,B,HFD,NSHFD3~~~~A
U,5~~~~,NS,B,PGW,NSPGW5~~~~A
U,4~~~~,NS,B,PGW,NSPGW4~~~~A
U,5~~~~,NS,B,QUE,NSQUE5~~~~A
U,5~~~~,NS,B,HFD,NSHFD5~~~~A
U,6~~~~,NS,A,QUE,NSQUE6~~~~A
U,5~~~~,NS,B,WOV,NSWOV5~~~~A
L,6~~~~,NS,A,STW,NSSTW6~~~~A
U,5~~~~,NS,B,QUE,NSQUE5~~~~A
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
L,6~~~~,NS,A,FSH,NSFSH6~~~~A
U,6~~~~,NS,A,QUE,NSQUE6~~~~A
M,2~~~~,NS,B,HBT,NSHBT2~~~~A
U,4~~~~,NS,B,HTP,NSHTP4~~~~A
M,5~~~~,NS,B,HTP,NSHTP5~~~~A
U,6~~~~,NS,A,HTP,NSHTP6~~~~A
M,4~~~~,NS,B,QUE,NSQUE4~~~~A
M,5~~~~,NS,B,QUE,NSQUE5~~~~A
M,6~~~~,NS,A,QUE,NSQUE6~~~~A
L,6~~~~,NS,A,STW,NSSTW6~~~~A
M,2~~~~,NS,B,HBT,NSHBT2~~~~A
L,5~~~~,NS,A,ACA,NSACA5~~~~A
U,5~~~~,NS,A,FSH,NSFSH5~~~~A
M,5~~~~,NS,B,HBT,NSHBT5~~~~A
L,5~~~~,NS,A,STW,NSSTW5~~~~A
M,3~~~~,NS,B,HFD,NSHFD3~~~~A
M,5~~~~,NS,B,HFD,NSHFD5~~~~A
M,6~~~~,NS,A,HFD,NSHFD6~~~~A
M,3~~~~,NS,B,HWL,NSHWL3~~~~N
U,4~~~~,NS,B,PGW,NSPGW4~~~~A
M,5~~~~,NS,B,QUE,NSQUE5~~~~A
M,5~~~~,NS,B,QUE,NSQUE5~~~~A
U,4~~~~,NS,B,QUE,NSQUE4~~~~A
M,6~~~~,NS,A,QUE,NSQUE6~~~~A
L,3~~~~,NS,A,CBR,NSCBR3~~~~A
M,3~~~~,NS,B,HFD,NSHFD3~~~~A
U,6~~~~,NS,A,QUE,NSQUE6~~~~A
B14,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,5~~~~,NS,B,QUE,NSQUE5~~~~A
S04,7~~~~,NS,A,DFN,NSDFN7~~~~N
M,3~~~~,NS,B,HFD,NSHFD3~~~~A
M,2~~~~,NS,B,HBT,NSHBT2~~~~A
M,5~~~~,NS,B,HFD,NSHFD5~~~~A
L,3~~~~,NS,A,CBR,NSCBR3~~~~A
M,6~~~~,NS,A,HFD,NSHFD6~~~~A
M,4~~~~,NS,B,WFV,NSWFV4~~~~A
M,3~~~~,NS,B,HFD,NSHFD3~~~~A
M,5~~~~,NS,B,HFD,NSHFD5~~~~A
M,3~~~~,NS,B,HWL,NSHWL3~~~~N
M,5~~~~,NS,B,HTP,NSHTP5~~~~A
M,5~~~~,NS,B,QUE,NSQUE5~~~~A
M,5~~~~,NS,B,WFV,NSWFV5~~~~A
M,5~~~~,NS,B,WFV,NSWFV5~~~~A
U,5~~~~,NS,C,WFV,NSWFV5~~~~A
M,6~~~~,NS,A,WFV,NSWFV6~~~~A
L,3~~~~,NS,A,CBR,NSCBR3~~~~A
M,5~~~~,NS,B,HWL,NSHWL5~~~~N
M,4~~~~,NS,B,WFV,NSWFV4~~~~A
M,4~~~~,NS,B,QUE,NSQUE4~~~~A
L,5~~~~,NS,A,ACA,NSACA5~~~~A
L,4~~~~,NS,A,STW,NSSTW4~~~~A
M,5~~~~,NS,B,QUE,NSQUE5~~~~A
M,2~~~~,NS,B,HBT,NSHBT2~~~~A
M,3~~~~,NS,C,BWT,NSBWT3~~~~N
M,3~~~~,NS,C,HWL,NSHWL3~~~~N
M,5~~~~,NS,B,BWT,NSBWT5~~~~N
U,3~~~~,NS,B,WOV,NSWOV3~~~~A
U,5~~~~,NS,B,KTV,NSKTV5~~~~A
L,5~~~~,NS,A,ACA,NSACA5~~~~A
U,2~~~~,NS,B,CNG,NSCNG2~~~~A
I,3~~~~,NS,C,PLT,NSPLT3~~~~A
M,3~~~~,NS,B,SME,NSSME3~~~~A
L,7~~~~,NS,A,ZSM,NSZSM7~~~~N
L,5~~~~,NS,A,ACA,NSACA5~~~~A
U,3~~~~,NS,A,WOV,NSWOV3~~~~A
L,7~~~~,NS,A,ZSM,NSZSM7~~~~N
U,5~~~~,NS,B,WFV,NSWFV5~~~~A
M,2~~~~,NS,B,TBO,NSTBO2~~~~A
M,4~~~~,NS,C,WFV,NSWFV4~~~~A
U,3~~~~,NS,B,BWK,NSBWK3~~~~A
L,5~~~~,NS,A,ACA,NSACA5~~~~A
U,5~~~~,NS,B,AVP,NSAVP5~~~~A
L,3~~~~,NS,A,CBR,NSCBR3~~~~A
L,2~~~~,NS,A,CNW,NSCNW2~~~~A
U,2~~~~,NS,B,CNW,NSCNW2~~~~A
U,3~~~~,NS,B,SME,NSSME3~~~~A
U,3~~~~,NS,B,BWK,NSBWK3~~~~A
U,2~~~~,NS,B,CNG,NSCNG2~~~~A
U,5~~~~,NS,A,KGP,NSKGP5~~~~A
M,2~~~~,NS,B,TBO,NSTBO2~~~~A
L,5~~~~,NS,A,CBR,NSCBR5~~~~A
U,3~~~~,NS,B,WOV,NSWOV3~~~~A
L,5~~~~,NS,A,ACA,NSACA5~~~~A
U,5~~~~,NS,B,KTV,NSKTV5~~~~A
U,2~~~~,NS,B,CNG,NSCNG2~~~~A
L,7~~~~,NS,A,ZSM,NSZSM7~~~~N
D,3~~~~,NS,B,PLT,NSPLT3~~~~A
D,3~~~~,NS,B,WOV,NSWOV3~~~~A
D,5~~~~,NS,B,WOV,NSWOV5~~~~A
L,5~~~~,NS,A,CBR,NSCBR5~~~~A
L,5~~~~,NS,A,KGP,NSKGP5~~~~A
L,5~~~~,NS,A,ACA,NSACA5~~~~A
L,4~~~~,NS,A,ACA,NSACA4~~~~A
L,6~~~~,NS,A,ACA,NSACA6~~~~A
M,3~~~~,NS,B,MRW,NSMRW3~~~~A
M,3~~~~,NS,B,HWL,NSHWL3~~~~N
S,~~~~~,NS,F,ZER,NSZER~~~~~N
U,5~~~~,NS,B,KTV,NSKTV5~~~~A
U,6~~~~,NS,A,LWR,NSLWR6~~~~A
D,5~~~~,NS,B,MDD,NSMDD5~~~~A
L,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,5~~~~,NS,A,DRT,NSDRT5~~~~A
U,3~~~~,NS,B,SME,NSSME3~~~~A
U,5~~~~,NS,A,KGP,NSKGP5~~~~A
U,6~~~~,NS,A,MLL,NSMLL6~~~~A
U,3~~~~,NS,B,BWK,NSBWK3~~~~A
U,2~~~~,NS,B,NUX,NSNUX2~~~~A
U,5~~~~,NS,A,KGP,NSKGP5~~~~A
U,2~~~~,NS,B,CNW,NSCNW2~~~~A
L,7~~~~,NS,A,CSY,NSCSY7~~~~N
U,5~~~~,NS,A,DRT,NSDRT5~~~~A
U,6~~~~,NS,A,MLL,NSMLL6~~~~A
U,6~~~~,NS,A,MSW,NSMSW6~~~~A
U,2~~~~,NS,B,CNW,NSCNW2~~~~A
U,2~~~~,NS,B,NUX,NSNUX2~~~~A
U,3~~~~,NS,B,BWK,NSBWK3~~~~A
U,5~~~~,NS,B,KGP,NSKGP5~~~~A
L,3~~~~,NS,A,CBR,NSCBR3~~~~A
U,2~~~~,NS,B,CNG,NSCNG2~~~~A
U,6~~~~,NS,A,MLL,NSMLL6~~~~A
U,3~~~~,NS,B,SME,NSSME3~~~~A
U,2~~~~,NS,B,TBO,NSTBO2~~~~A
U,3~~~~,NS,B,BWK,NSBWK3~~~~A
L,6~~~~,NS,A,CBR,NSCBR6~~~~A
M,3~~~~,NS,B,SME,NSSME3~~~~A
U,4~~~~,NS,B,WFV,NSWFV4~~~~A
U,3~~~~,NS,B,MRW,NSMRW3~~~~A
U,3~~~~,NS,B,HWL,NSHWL3~~~~N
U,2~~~~,NS,B,TBO,NSTBO2~~~~A
U,5~~~~,NS,B,MDD,NSMDD5~~~~A
D,5~~~~,NS,D,MDD,NSMDD5~~~~A
M,3~~~~,NS,B,GMO,NSGMO3~~~~A
U,6~~~~,NS,A,LWR,NSLWR6~~~~A
M,3~~~~,NS,B,HTN,NSHTN3~~~~N
