LOCSF,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID,STONE
L,MB,A,MNT,MBMNTp~~~~A,N
L,MB,A,PAN,MBPAN~~~~~A,S
L,MB,A,MNT,MBMNTd~~~~A,N
L,MB,A,MNT,MBMNTp~~~~A,N
L,MB,A,PPL,MBPPL~~~~~A,N
U,MB,A,SDI,MBSDI~~~~~A,N
L,MB,A,KRW,MBKRW~~~~~N,S
U,MB,A,MAR,MBMAR~~~~~A,N
F13,MB,A,KIC,MBKIC~~~~~A,N
L,MB,A,SPG,MBSPG~~~~~A,V
L,MB,A,SPG,MBSPG~~~~~A,S
F13,MB,A,KIC,MBKIC~~~~~A,N
L,MB,A,MNT,MBMNT~~~~~A,N
L,MB,A,BYD,MBBYDp~~~~A,S
L,MB,A,MEB,MBMEB~~~~~A,V
L,MB,A,MNT,MBMNTp~~~~A,V
L,MB,A,BYD,MBBYD~~~~~N,S
L,MB,A,PAN,MBPAN~~~~~A,N
L,MB,A,PLN,MBPLN~~~~~A,S
L,MB,A,GHP,MBGHP~~~~~A,S
L,MB,A,MNT,MBMNT~~~~~A,N
L,MB,A,LSW,MBLSW~~~~~A,N
L,MB,A,RIV,MBRIV~~~~~A,N
L,MB,A,WDN,MBWDN~~~~~A,N
L,MB,A,OBO,MBOBOd~~~~A,N
R,MB,B,ASZ,MBASZ~~~~~A,S
U,AB,A,CMO,ABCMO~~~~~A,S
U,AB,A,DUG,ABDUG~~~~~A,S
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,RLV,ABRLV~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,MMO,ABMMO~~~~~A,N
U,AB,A,NVR,ABNVR~~~~~A,N
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,WTB,ABWTB~~~~~A,N
U,AB,A,MNT,ABMNT~~~~~N,N
U,AB,A,RDW,ABRDW~~~~~A,N
I,AB,D,ZUN,ABZUN~~~~~N,S
U,AB,A,PED,ABPED~~~~~A,N
U,AB,A,MMO,ABMMO~~~~~A,N
U,AB,A,POK,ABPOK~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,B,ELP,ABELP~~~~~N,N
U,AB,A,TGL,ABTGL~~~~~A,N
F13,AB,A,MNT,ABMNT~~~~~N,N
U,AB,B,RLV,ABRLV~~~~~A,S
U,AB,A,MCO,ABMCO~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,KVG,ABKVG~~~~~A,S
U,AB,A,HBM,ABHBM~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,WKN,ABWKN~~~~~A,N
U,AB,A,MMO,ABMMO~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,PHS,ABPHS~~~~~A,N
U,AB,A,POK,ABPOK~~~~~A,N
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
H,AB,B,AGS,ABAGS~~~~~A,S
H,AB,B,RLV,ABRLV~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,MMO,ABMMO~~~~~A,N
U,AB,A,WKN,ABWKN~~~~~A,N
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,MMO,ABMMO~~~~~A,N
U,AB,A,POK,ABPOK~~~~~A,N
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,DUG,ABDUG~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,CMO,ABCMO~~~~~A,S
U,AB,A,HBM,ABHBM~~~~~A,S
U,AB,A,PHS,ABPHS~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,POK,ABPOK~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,CMO,ABCMO~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,DUG,ABDUG~~~~~A,S
U,AB,B,AGS,ABAGS~~~~~A,S
U,AB,A,RDW,ABRDW~~~~~A,N
U,AB,B,RLV,ABRLV~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,NRM,ABNRM~~~~~A,S
U,AB,A,CMO,ABCMO~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
M,AB,B,AGS,ABAGS~~~~~A,S
U,AB,A,HBM,ABHBM~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,AGS,ABAGS~~~~~A,S
H,AB,B,HLW,ABHLW~~~~~A,N
U,AB,A,GBL,ABGBL~~~~~N,S
U,AB,A,ZGW,ABZGW~~~~~N,S
M,AB,B,BVH,ABBVH~~~~~A,S
U,AB,A,FTH,ABFTH~~~~~A,S
M,AB,B,SLW,ABSLW~~~~~A,S
H,SK,C,ONA,SKONA~~~~~A,S
H,SK,C,ONI,SKONI~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
H,SK,B,MFA,SKMFA~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,C,WSA,SKWSA~~~~~A,S
H,SK,B,HMA,SKHMA~~~~~A,N
U,AB,A,BVH,ABBVH~~~~~A,S
H,SK,B,LYA,SKLYA~~~~~A,S
U,AB,A,MDR,ABMDR~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
U,SK,A,GLX,SKGLX~~~~~N,U
H,SK,B,RWG,SKRWG~~~~~N,U
H,SK,B,MEA,SKMEA~~~~~A,N
H,AB,B,PHS,ABPHS~~~~~A,N
H,AB,B,BVH,ABBVH~~~~~A,S
H,SK,B,MFA,SKMFA~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
U,AB,A,ZGW,ABZGW~~~~~N,S
H,SK,A,AVG,SKAVG~~~~~N,U
H,SK,B,EMD,SKEMD~~~~~N,N
D,SK,D,MFA,SKMFA~~~~~A,S
H,SK,C,MFA,SKMFA~~~~~A,S
H,SK,B,MEA,SKMEA~~~~~A,N
H,SK,C,MEA,SKMEA~~~~~A,N
H,SK,B,MFA,SKMFA~~~~~A,S
D,SK,D,WSA,SKWSA~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
D,SK,D,MFC,SKMFC~~~~~A,S
U,AB,A,EOR,ABEOR~~~~~A,S
U,SK,B,MFA,SKMFA~~~~~A,S
U,AB,A,BEL,ABBEL~~~~~A,N
U,SK,B,CFA,SKCFA~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,SK,B,CFE,SKCFE~~~~~A,S
U,SK,A,GLX,SKGLX~~~~~N,U
U,SK,A,GXX,SKGXX~~~~~N,U
D,SK,D,MFA,SKMFA~~~~~A,S
D,SK,D,MFC,SKMFC~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
D,SK,D,LZA,SKLZA~~~~~A,S
U,SK,A,GRG,SKGRGO~~~~N,U
D,SK,D,HWW,SKHWW~~~~~N,S
D,SK,D,HWA,SKHWA~~~~~N,S
L,SK,A,AVG,SKAVG~~~~~N,U
L,SK,A,AVY,SKAVY~~~~~N,U
U,SK,A,CFA,SKCFA~~~~~A,S
H,SK,B,CFA,SKCFA~~~~~A,S
H,SK,B,MFA,SKMFA~~~~~A,S
U,SK,A,MFA,SKMFA~~~~~A,S
U,SK,A,GLX,SKGLX~~~~~N,U
H,SK,D,MFA,SKMFA~~~~~A,S
U,SK,B,MFA,SKMFA~~~~~A,S
U,SK,B,MEA,SKMEA~~~~~A,N
U,SK,B,CFA,SKCFA~~~~~A,S
U,SK,B,HMA,SKHMA~~~~~A,N
U,SK,B,BBA,SKBBA~~~~~A,N
U,SK,A,GXX,SKGXX~~~~~N,U
U,SK,B,KAA,SKKAA~~~~~A,N
H,SK,D,MFA,SKMFA~~~~~A,S
D,SK,D,HWW,SKHWW~~~~~N,S
I,AB,E,ZUN,ABZUN~~~~~N,S
D,SK,D,HWA,SKHWA~~~~~N,S
H,SK,B,MFA,SKMFA~~~~~A,S
U,AB,A,AMT,ABAMT~~~~~N,N
L,SK,A,AVG,SKAVG~~~~~N,U
L,SK,A,AVY,SKAVY~~~~~N,U
H,SK,B,CFA,SKCFA~~~~~A,S
U,SK,A,GLX,SKGLX~~~~~N,U
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,IRM,ABIRM~~~~~A,N
U,AB,B,EOR,ABEOR~~~~~A,S
U,AB,B,BEL,ABBEL~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
U,SK,B,BBA,SKBBA~~~~~A,N
U,SK,B,CFA,SKCFA~~~~~A,S
U,SK,B,HMA,SKHMA~~~~~A,N
H,SK,C,MEA,SKMEA~~~~~A,N
U,SK,B,MFA,SKMFA~~~~~A,S
H,SK,B,CFA,SKCFA~~~~~A,S
H,SK,B,MFA,SKMFA~~~~~A,S
U,SK,A,CFA,SKCFA~~~~~A,S
H,SK,D,MFA,SKMFA~~~~~A,S
U,SK,A,MFA,SKMFA~~~~~A,S
U,SK,A,FKG,SKFKGN~~~~N,U
U,SK,A,CFA,SKCFA~~~~~A,S
U,SK,B,CFA,SKCFA~~~~~A,S
U,SK,A,BBA,SKBBA~~~~~A,N
U,SK,A,MFA,SKMFA~~~~~A,S
U,SK,B,MFA,SKMFA~~~~~A,S
D,SK,D,HWW,SKHWW~~~~~N,S
H,SK,B,MFA,SKMFA~~~~~A,S
H,SK,D,MFA,SKMFA~~~~~A,S
H,SK,B,CFA,SKCFA~~~~~A,S
H,SK,D,LZA,SKLZA~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,D,MFD,SKMFD~~~~~A,S
H,AB,C,HND,ABHND~~~~~A,S
U,SK,A,HMA,SKHMA~~~~~A,N
H,SK,B,HMA,SKHMA~~~~~A,N
H,SK,D,MFA,SKMFA~~~~~A,S
H,SK,B,MFA,SKMFA~~~~~A,S
H,AB,C,PRO,ABPRO~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,D,HMA,SKHMA~~~~~A,N
H,SK,D,CFA,SKCFA~~~~~A,S
H,AB,B,CNN,ABCNN~~~~~A,N
H,SK,B,MEA,SKMEA~~~~~A,N
U,SK,A,CFA,SKCFA~~~~~A,S
U,SK,A,MFA,SKMFA~~~~~A,S
U,SK,B,MFA,SKMFA~~~~~A,S
U,SK,B,CFA,SKCFA~~~~~A,S
D,SK,D,HWW,SKHWW~~~~~N,S
U,SK,B,RWG,SKRWG~~~~~N,U
H,SK,B,CFA,SKCFA~~~~~A,S
H,SK,B,MFA,SKMFA~~~~~A,S
H,SK,B,BBA,SKBBA~~~~~A,N
H,SK,B,HMA,SKHMA~~~~~A,N
D,SK,D,HWW,SKHWW~~~~~N,S
H,SK,B,MEA,SKMEA~~~~~A,N
U,SK,A,FKA,SKFKAGN~~~N,U
U,SK,B,MEA,SKMEA~~~~~A,N
R,SK,C,MFA,SKMFA~~~~~A,S
U,SK,A,MEA,SKMEA~~~~~A,N
R,SK,B,HMA,SKHMA~~~~~A,N
D,SK,D,HWW,SKHWW~~~~~N,S
R,SK,C,WSA,SKWSA~~~~~A,S
R,SK,B,HMB,SKHMBS~~~~A,N
U,SK,B,CFA,SKCFA~~~~~A,S
R,SK,B,MFA,SKMFA~~~~~A,S
U,SK,A,CFA,SKCFA~~~~~A,S
U,SK,A,MFA,SKMFA~~~~~A,S
U,SK,A,FKA,SKFKAGN~~~N,U
H,SK,B,MFA,SKMFA~~~~~A,S
H,SK,B,MTA,SKMTA~~~~~A,S
H,SK,B,MTD,SKMTD~~~~~A,S
D,SK,D,HWF,SKHWF~~~~~N,S
D,SK,D,HWW,SKHWW~~~~~N,S
H,SK,B,LZA,SKLZA~~~~~A,S
H,SK,B,KAA,SKKAA~~~~~A,N
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,B,MFA,SKMFA~~~~~A,S
U,SK,B,CFA,SKCFA~~~~~A,S
H,SK,D,MFA,SKMFA~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,B,MFA,SKMFA~~~~~A,S
D,SK,B,MEA,SKMEA~~~~~A,N
H,SK,B,MFC,SKMFC~~~~~A,V
U,SK,A,FKA,SKFKAGO~~~N,U
H,SK,C,MFA,SKMFA~~~~~A,S
H,SK,C,LZA,SKLZA~~~~~A,S
H,SK,C,MFC,SKMFC~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,D,LZA,SKLZA~~~~~A,S
H,AB,B,AGS,ABAGS~~~~~A,S
H,AB,B,SLW,ABSLW~~~~~A,S
H,AB,B,UCS,ABUCS~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
M,AB,B,AGS,ABAGS~~~~~A,S
H,AB,B,MDR,ABMDR~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
M,AB,B,AGS,ABAGS~~~~~A,S
M,AB,B,BVH,ABBVH~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,EOR,ABEOR~~~~~A,S
U,AB,A,IRM,ABIRM~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
H,AB,C,EOR,ABEOR~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
M,AB,B,EOR,ABEOR~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,B,IRM,ABIRM~~~~~A,N
U,AB,B,CPL,ABCPL~~~~~A,N
U,AB,B,EOR,ABEOR~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
I,AB,E,ZUN,ABZUN~~~~~N,S
U,AB,A,AMT,ABAMT~~~~~N,N
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,B,EOR,ABEOR~~~~~A,S
U,AB,A,ACE,ABACE~~~~~A,S
U,AB,A,IRM,ABIRM~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
M,AB,B,EOR,ABEOR~~~~~A,S
U,AB,A,IRM,ABIRM~~~~~A,N
U,AB,A,RED,ABRED~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
H,AB,C,EOR,ABEOR~~~~~A,S
H,AB,D,EOR,ABEORer~~~A,S
H,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,CMO,ABCMO~~~~~A,S
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,ZGW,ABZGWsa~~~N,S
U,AB,A,CMO,ABCMO~~~~~A,S
U,AB,A,NRM,ABNRM~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,CMO,ABCMO~~~~~A,S
U,AB,B,AGS,ABAGS~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,KLM,ABKLM~~~~~A,S
U,AB,A,SHS,ABSHS~~~~~A,S
U,AB,A,ZGW,ABZGWsa~~~N,S
U,AB,A,KLM,ABKLM~~~~~A,S
U,AB,A,HER,ABHER~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
I,AB,A,ZUN,ABZUN~~~~~N,S
U,AB,A,AMT,ABAMT~~~~~N,N
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,POK,ABPOK~~~~~A,N
U,AB,A,PHS,ABPHS~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,KLM,ABKLM~~~~~A,S
U,AB,A,HER,ABHER~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,HER,ABHER~~~~~A,S
U,AB,A,KLM,ABKLM~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,AGS,ABAGS~~~~~A,S
U,AB,A,CMO,ABCMO~~~~~A,S
U,AB,A,KLM,ABKLM~~~~~A,S
U,AB,A,EOR,ABEOR~~~~~A,S
U,AB,A,IRM,ABIRM~~~~~A,N
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,IRM,ABIRM~~~~~A,N
U,AB,A,KLM,ABKLM~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,KLM,ABKLM~~~~~A,S
U,AB,A,GDB,ABGDB~~~~~N,N
U,AB,A,HER,ABHER~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,HKR,ABHKR~~~~~A,S
U,AB,A,WES,ABWES~~~~~A,N
U,AB,A,TLA,ABTLA~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,ROS,ABROS~~~~~N,S
U,AB,B,AGS,ABAGS~~~~~A,S
U,AB,A,KLM,ABKLM~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
U,AB,A,MET,ABMET~~~~~A,N
U,AB,B,HKR,ABHKR~~~~~A,S
U,AB,A,SUL,ABSUL~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
H,AB,B,COA,ABCOA~~~~~A,S
H,AB,B,UCS,ABUCS~~~~~A,S
U,AB,A,ZGW,ABZGW~~~~~N,S
H,SK,B,MFA,SKMFA~~~~~A,S
H,SK,B,WAA,SKWAA~~~~~A,S
H,SK,B,HMA,SKHMA~~~~~A,N
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,B,MFA,SKMFA~~~~~A,S
D,SK,D,MFA,SKMFA~~~~~A,S
H,SK,B,WSA,SKWSA~~~~~A,S
H,SK,B,BBA,SKBBA~~~~~A,N
U,SK,A,FKA,SKFKAGN~~~N,U
H,SK,B,MEA,SKMEA~~~~~A,N
H,SK,B,WAA,SKWAA~~~~~A,S
D,SK,D,WSA,SKWSA~~~~~A,S
U,SK,A,BBA,SKBBA~~~~~A,N
U,SK,A,MEA,SKMEA~~~~~A,N
U,SK,A,GXX,SKGXX~~~~~N,U
D,SK,B,LZA,SKLZA~~~~~A,S
D,SK,B,MFA,SKMFA~~~~~A,S
D,SK,D,MFA,SKMFA~~~~~A,S
D,SK,D,LZA,SKLZA~~~~~A,S
D,SK,D,HWW,SKHWW~~~~~N,S
D,SK,B,WSA,SKWSA~~~~~A,S
D,SK,D,RWG,SKRWG~~~~~N,U
D,SK,D,WSA,SKWSA~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
D,SK,A,MFA,SKMFA~~~~~A,S
D,SK,A,LZA,SKLZA~~~~~A,S
D,SK,D,HWW,SKHWW~~~~~N,V
D,SK,D,MFA,SKMFA~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,B,MFA,SKMFA~~~~~A,S
H,SK,A,MFA,SKMFA~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
R,SK,C,MFA,SKMFA~~~~~A,S
H,SK,A,LZA,SKLZA~~~~~A,S
H,SK,B,MFC,SKMFC~~~~~A,S
H,SK,B,MEA,SKMEA~~~~~A,N
D,SK,D,MFA,SKMFA~~~~~A,S
H,SK,B,MFA,SKMFA~~~~~A,S
H,SK,B,WSA,SKWSA~~~~~A,S
H,SK,B,HMA,SKHMA~~~~~A,N
D,SK,D,HWW,SKHWW~~~~~N,S
U,SK,A,FKA,SKFKAGN~~~N,U
D,SK,D,MEA,SKMEA~~~~~A,N
H,SK,B,KRA,SKKRA~~~~~A,N
H,SK,C,KRA,SKKRA~~~~~A,N
H,SK,C,HMA,SKHMA~~~~~A,N
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,B,MFA,SKMFA~~~~~A,S
H,SK,C,SDA,SKSDA~~~~~A,S
U,SK,A,BBA,SKBBA~~~~~A,N
U,SK,A,CMA,SKCMA~~~~~A,S
H,SK,B,HMA,SKHMA~~~~~A,N
U,SK,A,HMA,SKHMA~~~~~A,N
H,SK,C,CMA,SKCMA~~~~~A,S
H,SK,B,KRA,SKKRA~~~~~A,N
H,SK,C,KRC,SKKRC~~~~~A,N
H,SK,B,MEA,SKMEA~~~~~A,N
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,B,OXA,SKOXA~~~~~A,S
H,SK,B,CMA,SKCMA~~~~~A,S
H,SK,C,WSA,SKWSA~~~~~A,S
H,SK,C,OXA,SKOXA~~~~~A,S
D,SK,D,HWW,SKHWW~~~~~N,S
U,SK,A,KTA,SKKTA~~~~~A,N
H,SK,B,KTA,SKKTAA~~~~A,N
U,SK,A,GXX,SKGXX~~~~~N,U
U,SK,A,KTC,SKKTC~~~~~A,N
U,SK,A,KTD,SKKTD~~~~~A,N
H,SK,C,MFA,SKMFA~~~~~A,S
H,SK,C,MFA,SKMFA~~~~~A,S
H,SK,B,MFA,SKMFA~~~~~A,S
H,SK,C,MFC,SKMFC~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,C,LZA,SKLZA~~~~~A,S
H,SK,B,MFC,SKMFC~~~~~A,S
U,SK,A,BBA,SKBBA~~~~~A,N
H,SK,B,TGA,SKTGA~~~~~A,N
U,SK,A,BBA,SKBBA~~~~~A,N
U,SK,A,CFA,SKCFA~~~~~A,S
U,SK,A,HMA,SKHMA~~~~~A,N
H,SK,B,BBA,SKBBA~~~~~A,N
U,SK,A,CMA,SKCMA~~~~~A,S
H,SK,B,CMA,SKCMA~~~~~A,S
H,SK,B,MFA,SKMFA~~~~~A,S
U,SK,A,GLX,SKGLX~~~~~N,U
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,B,OXA,SKOXA~~~~~A,S
H,SK,C,OXA,SKOXA~~~~~A,S
H,SK,A,OXA,SKOXA~~~~~A,S
H,SK,B,OXC,SKOXC~~~~~A,S
H,SK,C,OXC,SKOXC~~~~~A,S
U,SK,A,GXX,SKGXX~~~~~N,U
U,SK,A,FKG,SKFKGN~~~~N,U
H,SK,B,OXO,SKOXO~~~~~A,S
H,SK,B,EMD,SKEMD~~~~~N,N
H,SK,B,MEA,SKMEA~~~~~A,N
H,SK,B,EMA,SKEMA~~~~~N,N
H,SK,D,EMA,SKEMA~~~~~N,N
U,SK,A,GXX,SKGXX~~~~~N,U
H,SK,B,HMA,SKHMA~~~~~A,N
H,SK,D,EMD,SKEMD~~~~~N,N
U,SK,A,AVX,SKAVX~~~~~N,U
U,SK,A,AVG,SKAVG~~~~~N,U
U,SK,A,AVA,SKAVA~~~~~A,U
U,SK,A,AVY,SKAVY~~~~~N,U
D,SK,B,HWW,SKHWW~~~~~N,S
D,SK,D,HWW,SKHWW~~~~~N,S
H,SK,B,MEA,SKMEA~~~~~A,N
U,SK,A,MEA,SKMEA~~~~~A,N
H,SK,B,EMD,SKEMD~~~~~N,N
H,SK,B,EMA,SKEMA~~~~~N,N
U,SK,B,HMA,SKHMA~~~~~A,N
D,SK,D,HWW,SKHWW~~~~~N,S
U,SK,A,GXX,SKGXX~~~~~N,U
U,SK,A,HMA,SKHMA~~~~~A,N
U,SK,B,MEA,SKMEA~~~~~A,N
H,SK,B,EMD,SKEMD~~~~~N,N
H,SK,B,EMA,SKEMA~~~~~N,N
H,SK,B,HMA,SKHMA~~~~~A,N
H,SK,B,BBA,SKBBA~~~~~A,N
U,SK,A,BBA,SKBBA~~~~~A,N
U,SK,A,HMA,SKHMA~~~~~A,N
U,SK,A,CFA,SKCFA~~~~~A,S
U,SK,A,CFE,SKCFE~~~~~A,S
U,SK,A,BBE,SKBBE~~~~~A,N
U,SK,A,GXX,SKGXX~~~~~N,U
U,SK,A,HMA,SKHMA~~~~~A,N
U,SK,A,CFA,SKCFA~~~~~A,S
U,SK,A,MEA,SKMEA~~~~~A,N
U,SK,A,CTG,SKCTGN~~~~N,U
