LOCSF,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID,STONE
M,NS,C,GIB,NSGIB3~~~~N,V
M,NS,C,BWT,NSBWT3~~~~N,V
M,NS,C,HWL,NSHWL3~~~~N,V
M,NS,B,APG,NSAPG6~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
U,NS,B,NUX,NSNUX2~~~~A,V
U,NS,B,GIB,NSGIB5~~~~N,V
U,NS,B,BWT,NSBWT5~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
U,NS,B,HFX,NSHFX5~~~~N,V
U,NS,A,APG,NSAPG6~~~~N,V
B13,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,C,BWT,NSBWT3~~~~N,V
M,NS,C,HBT,NSHBT2~~~~A,S
M,NS,C,ZRL,NSZRL~~~~~N,U
M,NS,C,ZRL,NSZRL~~~~~N,U
U,NS,B,HFX,NSHFX5~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
U,NS,B,HTN,NSHTN5~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
U,NS,A,APG,NSAPG6~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
U,NS,B,ZRL,NSZRL~~~~~N,U
U,NS,B,HFX,NSHFX5~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
U,NS,B,HTN,NSHTN5~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
U,NS,B,ZRL,NSZRL~~~~~N,U
U,NS,B,HFX,NSHFX5~~~~N,V
U,NS,A,APG,NSAPG6~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,HFX,NSHFX3~~~~N,V
U,NS,B,HTN,NSHTN5~~~~N,V
M,NS,C,TBO,NSTBO2~~~~A,V
U,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,B,HFX,NSHFX5~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
U,NS,A,APG,NSAPG6~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,B,HTN,NSHTN5~~~~N,V
M,NS,B,ZRL,NSZRL~~~~~N,U
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,B,HFX,NSHFX5~~~~N,V
M,NS,C,WFV,NSWFV4~~~~A,S
M,NS,B,ZRL,NSZRL~~~~~N,U
L,NS,A,ZCB,NSZCB~~~~~N,N
R,NS,D,ZCB,NSZCB~~~~~N,N
U,NS,B,HFX,NSHFX5~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,BWT,NSBWT3~~~~N,V
U,NS,B,HTN,NSHTN5~~~~N,V
M,NS,C,WFV,NSWFV4~~~~A,V
U,NS,B,ZRL,NSZRL~~~~~N,U
B13,NS,A,CSY,NSCSY7~~~~N,N
U,NS,B,HBT,NSHBT2~~~~A,V
U,NS,B,HFX,NSHFX5~~~~N,V
U,NS,B,HTN,NSHTN5~~~~N,V
B13,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,WFV,NSWFV4~~~~A,V
U,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,B,HFX,NSHFX5~~~~N,V
M,NS,B,HFX,NSHFX5~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
B13,NS,A,CSY,NSCSY7~~~~N,N
M,NS,B,HTN,NSHTN5~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,B,HFX,NSHFX5~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,B,HFX,NSHFX5~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,C,WFV,NSWFV4~~~~A,S
L,NS,A,ZCB,NSZCB~~~~~N,U
M,NS,C,ZRL,NSZRL~~~~~N,U
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,C,BWT,NSBWT3~~~~N,S
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,WFV,NSWFV4~~~~A,S
M,NS,C,ZRL,NSZRL~~~~~N,U
M,NS,C,WFV,NSWFV4~~~~A,S
M,NS,B,APG,NSAPG6~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,B,HFX,NSHFX5~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
L,NS,A,ZCB,NSZCB~~~~~N,U
M,NS,B,HFX,NSHFX5~~~~N,V
M,NS,B,HTN,NSHTN5~~~~N,V
M,NS,C,WFV,NSWFV4~~~~A,S
M,NS,B,BWT,NSBWT5~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,C,BWT,NSBWT3~~~~N,S
M,NS,C,WFV,NSWFV4~~~~A,S
L,NS,A,ZCB,NSZCB~~~~~N,U
L,NS,A,ZSM,NSZSM7~~~~N,N
M,NS,C,WFV,NSWFV4~~~~A,S
M,NS,B,WFV,NSWFV5~~~~A,S
M,NS,C,BWT,NSBWT3~~~~N,S
M,NS,B,APG,NSAPG6~~~~N,V
M,NS,B,HFX,NSHFX3~~~~N,V
M,NS,C,HWL,NSHWL3~~~~N,S
M,NS,B,HWL,NSHWL5~~~~N,S
M,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,C,GIB,NSGIB3~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,B,GIB,NSGIB5~~~~N,V
M,NS,B,HTN,NSHTN5~~~~N,V
M,NS,B,APG,NSAPG6~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,WFV,NSWFV4~~~~A,V
M,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,C,ZRL,NSZRL~~~~~N,U
B13,NS,A,CSY,NSCSY7~~~~N,N
M,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,B,GIB,NSGIB3~~~~N,V
M,NS,B,HFX,NSHFX3~~~~N,V
M,NS,B,HTN,NSHTN3~~~~N,V
M,NS,C,BWT,NSBWT3~~~~N,S
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,WFV,NSWFV4~~~~A,S
M,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,B,BWT,NSBWT3~~~~N,S
M,NS,C,BWT,NSBWT3~~~~N,S
M,NS,B,BWT,NSBWT3~~~~N,S
M,NS,C,BWT,NSBWT3~~~~N,S
M,NS,B,HWL,NSHWL3~~~~N,V
M,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,D,RAY,NSRAY3~~~~N,V
M,NS,D,HWL,NSHWL3~~~~N,V
M,NS,C,RAY,NSRAY5~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,B,RAY,NSRAY6~~~~N,V
M,NS,B,ZRL,NSZRL~~~~~N,U
U,NS,B,HFX,NSHFX3~~~~N,V
U,NS,B,HTN,NSHTN3~~~~N,V
U,NS,B,HFX,NSHFX5~~~~N,V
U,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,C,HFX,NSHFX3~~~~N,V
U,NS,B,HFX,NSHFX5~~~~N,S
M,NS,C,HBT,NSHBT2~~~~A,S
U,NS,B,HTN,NSHTN5~~~~N,S
U,NS,B,APG,NSAPG6~~~~N,S
U,NS,B,HFX,NSHFX3~~~~N,V
U,NS,B,HBT,NSHBT5~~~~A,S
U,NS,B,HFX,NSHFX5~~~~N,V
U,NS,B,HTN,NSHTN5~~~~N,V
U,NS,B,HFX,NSHFX3~~~~N,V
U,NS,B,HTN,NSHTN3~~~~N,V
U,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,B,PHB,NSPHB5~~~~N,V
M,NS,C,PHB,NSPHB4~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,B,HTN,NSHTN5~~~~N,V
M,NS,B,PHB,NSPHB6~~~~N,V
L,NS,A,ZCB,NSZCB~~~~~N,U
U,NS,B,BWT,NSBWT5~~~~N,S
U,NS,B,HBT,NSHBT2~~~~A,S
U,NS,C,BWT,NSBWT3~~~~N,S
U,NS,A,BWT,NSBWT6~~~~N,S
B14,NS,A,CSY,NSCSY7~~~~N,N
U,NS,B,HBT,NSHBT5~~~~A,S
U,NS,A,HBT,NSHBT6~~~~A,S
U,NS,B,YUH,NSYUH5~~~~A,S
U,NS,A,YUH,NSYUH6~~~~N,S
U,NS,B,PHB,NSPHB5~~~~N,V
U,NS,B,PHB,NSPHB6~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
U,NS,B,HTN,NSHTN5~~~~N,V
U,NS,B,HTN,NSHTN6~~~~N,V
U,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,B,YUH,NSYUH5~~~~A,V
M,NS,B,HFX,NSHFX5~~~~N,S
M,NS,D,YUH,NSYUH3~~~~A,V
M,NS,B,HTN,NSHTN5~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,S
L,NS,A,ZSM,NSZSM7~~~~N,N
M,NS,A,YUH,NSYUH6~~~~N,S
M,NS,B,PHB,NSPHB5~~~~N,V
M,NS,B,HTN,NSHTN5~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,C,PHB,NSPHB4~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,B,ZRL,NSZRL~~~~~N,U
U,NS,B,YUH,NSYUH4~~~~A,S
U,NS,B,YUH,NSYUH5~~~~A,S
U,NS,A,APG,NSAPG6~~~~N,S
U,NS,B,HFX,NSHFX5~~~~N,S
U,NS,A,YUH,NSYUH6~~~~N,S
M,NS,B,YUH,NSYUH3~~~~A,S
M,NS,D,HWL,NSHWL3~~~~N,V
M,NS,B,YUH,NSYUH5~~~~A,S
M,NS,A,YUH,NSYUH6~~~~N,S
M,NS,D,ZRL,NSZRL~~~~~N,U
U,NS,B,APG,NSAPG6~~~~N,V
U,NS,B,YUH,NSYUH5~~~~A,V
U,NS,B,YUH,NSYUH6~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
U,NS,B,HTN,NSHTN5~~~~N,V
U,NS,B,HFX,NSHFX5~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
U,NS,B,APG,NSAPG6~~~~N,S
U,NS,B,HTN,NSHTN6~~~~N,S
M,NS,C,HFX,NSHFX3~~~~N,S
M,NS,C,HFX,NSHFX5~~~~N,S
B14,NS,A,CSY,NSCSY7~~~~N,N
L,NS,A,ZSM,NSZSM7~~~~N,N
U,NS,B,HBT,NSHBT2~~~~A,S
L,NS,A,ZSM,NSZSM7~~~~N,N
U,NS,B,YUH,NSYUH5~~~~A,S
U,NS,B,YUH,NSYUH6~~~~N,S
U,NS,B,YUH,NSYUH5~~~~A,S
U,NS,A,APG,NSAPG6~~~~N,V
U,NS,B,HFX,NSHFX5~~~~N,V
U,NS,A,YUH,NSYUH6~~~~N,S
U,NS,B,BWT,NSBWT5~~~~N,S
M,NS,C,YUH,NSYUH4~~~~A,S
U,NS,B,HTN,NSHTN5~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
U,NS,B,PHB,NSPHB6~~~~N,V
U,NS,B,HTN,NSHTN6~~~~N,V
U,NS,B,HBT,NSHBT2~~~~A,V
U,NS,B,PHB,NSPHB5~~~~N,V
L,NS,A,ZSM,NSZSM7~~~~N,N
M,NS,C,YUH,NSYUH4~~~~A,S
U,NS,B,HBT,NSHBT2~~~~A,S
U,NS,A,YUH,NSYUH6~~~~N,S
U,NS,B,APG,NSAPG6~~~~N,V
U,NS,B,HBT,NSHBT2~~~~A,S
U,NS,B,TBO,NSTBO2~~~~A,S
U,NS,B,YUH,NSYUH6~~~~N,V
U,NS,B,BWT,NSBWT5~~~~N,S
U,NS,B,YUH,NSYUH5~~~~A,S
L,NS,A,ZSM,NSZSM7~~~~N,N
M,NS,C,GIB,NSGIB3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,B,APG,NSAPG6~~~~N,V
M,NS,B,GIB,NSGIB5~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
U,NS,B,PHB,NSPHB5~~~~N,V
U,NS,B,HTN,NSHTN5~~~~N,V
M,NS,C,PHB,NSPHB4~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
U,NS,B,PHB,NSPHB6~~~~N,V
U,NS,B,PHB,NSPHB6~~~~N,V
U,NS,B,PHB,NSPHB5~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
U,NS,B,HTN,NSHTN6~~~~N,V
L,NS,A,ZCB,NSZCB~~~~~N,U
L,NS,A,ZSM,NSZSM7~~~~N,N
M,NS,B,WOB,NSWOB5~~~~A,S
M,NS,B,WOB,NSWOB4~~~~A,S
M,NS,C,WOB,NSWOB4~~~~A,S
M,NS,A,WOB,NSWOB6~~~~A,S
M,NS,C,WOB,NSWOB5~~~~A,S
M,NS,B,HBT,NSHBT2~~~~A,S
M,NS,B,HBT,NSHBT5~~~~A,S
M,NS,A,HBT,NSHBT6~~~~A,S
M,NS,B,QUE,NSQUE5~~~~A,S
M,NS,C,QUE,NSQUE5~~~~A,S
M,NS,A,QUE,NSQUE6~~~~A,S
M,NS,B,PGW,NSPGW5~~~~A,S
L,NS,A,STW,NSSTW5~~~~A,N
L,NS,A,STW,NSSTW6~~~~A,N
L,NS,A,CSY,NSCSY7~~~~N,N
M,NS,B,QUE,NSQUE5~~~~A,S
L,NS,A,STW,NSSTW5~~~~A,N
M,NS,B,HBT,NSHBT2~~~~A,S
M,NS,B,HBT,NSHBT5~~~~A,S
M,NS,A,QUE,NSQUE6~~~~A,S
U,NS,B,HFD,NSHFD3~~~~A,S
U,NS,B,PGW,NSPGW5~~~~A,S
U,NS,B,PGW,NSPGW4~~~~A,S
U,NS,B,QUE,NSQUE5~~~~A,S
U,NS,B,HFD,NSHFD5~~~~A,S
U,NS,A,QUE,NSQUE6~~~~A,S
U,NS,B,WOV,NSWOV5~~~~A,S
L,NS,A,STW,NSSTW6~~~~A,N
U,NS,B,QUE,NSQUE5~~~~A,S
B14,NS,A,CSY,NSCSY7~~~~N,N
L,NS,A,FSH,NSFSH6~~~~A,N
U,NS,A,QUE,NSQUE6~~~~A,S
M,NS,B,HBT,NSHBT2~~~~A,S
U,NS,B,HTP,NSHTP4~~~~A,S
M,NS,B,HTP,NSHTP5~~~~A,S
U,NS,A,HTP,NSHTP6~~~~A,S
M,NS,B,QUE,NSQUE4~~~~A,S
M,NS,B,QUE,NSQUE5~~~~A,S
M,NS,A,QUE,NSQUE6~~~~A,S
L,NS,A,STW,NSSTW6~~~~A,N
M,NS,B,HBT,NSHBT2~~~~A,S
L,NS,A,ACA,NSACA5~~~~A,N
U,NS,A,FSH,NSFSH5~~~~A,N
M,NS,B,HBT,NSHBT5~~~~A,S
L,NS,A,STW,NSSTW5~~~~A,N
M,NS,B,HFD,NSHFD3~~~~A,S
M,NS,B,HFD,NSHFD5~~~~A,S
M,NS,A,HFD,NSHFD6~~~~A,S
M,NS,B,HWL,NSHWL3~~~~N,V
U,NS,B,PGW,NSPGW4~~~~A,S
M,NS,B,QUE,NSQUE5~~~~A,S
M,NS,B,QUE,NSQUE5~~~~A,S
U,NS,B,QUE,NSQUE4~~~~A,S
M,NS,A,QUE,NSQUE6~~~~A,S
L,NS,A,CBR,NSCBR3~~~~A,N
M,NS,B,HFD,NSHFD3~~~~A,S
U,NS,A,QUE,NSQUE6~~~~A,S
B14,NS,A,CSY,NSCSY7~~~~N,N
U,NS,B,QUE,NSQUE5~~~~A,S
S04,NS,A,DFN,NSDFN7~~~~N,N
M,NS,B,HFD,NSHFD3~~~~A,S
M,NS,B,HBT,NSHBT2~~~~A,S
M,NS,B,HFD,NSHFD5~~~~A,S
L,NS,A,CBR,NSCBR3~~~~A,N
M,NS,A,HFD,NSHFD6~~~~A,S
M,NS,B,WFV,NSWFV4~~~~A,S
M,NS,B,HFD,NSHFD3~~~~A,S
M,NS,B,HFD,NSHFD5~~~~A,S
M,NS,B,HWL,NSHWL3~~~~N,V
M,NS,B,HTP,NSHTP5~~~~A,S
M,NS,B,QUE,NSQUE5~~~~A,S
M,NS,B,WFV,NSWFV5~~~~A,S
M,NS,B,WFV,NSWFV5~~~~A,S
U,NS,C,WFV,NSWFV5~~~~A,S
M,NS,A,WFV,NSWFV6~~~~A,S
L,NS,A,CBR,NSCBR3~~~~A,N
M,NS,B,HWL,NSHWL5~~~~N,V
M,NS,B,WFV,NSWFV4~~~~A,S
M,NS,B,QUE,NSQUE4~~~~A,S
L,NS,A,ACA,NSACA5~~~~A,N
L,NS,A,STW,NSSTW4~~~~A,N
M,NS,B,QUE,NSQUE5~~~~A,S
M,NS,B,HBT,NSHBT2~~~~A,S
M,NS,C,BWT,NSBWT3~~~~N,V
M,NS,C,HWL,NSHWL3~~~~N,V
M,NS,B,BWT,NSBWT5~~~~N,S
U,NS,B,WOV,NSWOV3~~~~A,N
U,NS,B,KTV,NSKTV5~~~~A,N
L,NS,A,ACA,NSACA5~~~~A,N
U,NS,B,CNG,NSCNG2~~~~A,N
I,NS,C,PLT,NSPLT3~~~~A,N
M,NS,B,SME,NSSME3~~~~A,N
L,NS,A,ZSM,NSZSM7~~~~N,N
L,NS,A,ACA,NSACA5~~~~A,N
U,NS,A,WOV,NSWOV3~~~~A,N
L,NS,A,ZSM,NSZSM7~~~~N,N
U,NS,B,WFV,NSWFV5~~~~A,N
M,NS,B,TBO,NSTBO2~~~~A,S
M,NS,C,WFV,NSWFV4~~~~A,S
U,NS,B,BWK,NSBWK3~~~~A,N
L,NS,A,ACA,NSACA5~~~~A,N
U,NS,B,AVP,NSAVP5~~~~A,N
L,NS,A,CBR,NSCBR3~~~~A,N
L,NS,A,CNW,NSCNW2~~~~A,N
U,NS,B,CNW,NSCNW2~~~~A,N
U,NS,B,SME,NSSME3~~~~A,N
U,NS,B,BWK,NSBWK3~~~~A,N
U,NS,B,CNG,NSCNG2~~~~A,N
U,NS,A,KGP,NSKGP5~~~~A,N
M,NS,B,TBO,NSTBO2~~~~A,S
L,NS,A,CBR,NSCBR5~~~~A,N
U,NS,B,WOV,NSWOV3~~~~A,N
L,NS,A,ACA,NSACA5~~~~A,N
U,NS,B,KTV,NSKTV5~~~~A,N
U,NS,B,CNG,NSCNG2~~~~A,N
L,NS,A,ZSM,NSZSM7~~~~N,N
D,NS,B,PLT,NSPLT3~~~~A,N
D,NS,B,WOV,NSWOV3~~~~A,N
D,NS,B,WOV,NSWOV5~~~~A,N
L,NS,A,CBR,NSCBR5~~~~A,N
L,NS,A,KGP,NSKGP5~~~~A,N
L,NS,A,ACA,NSACA5~~~~A,N
L,NS,A,ACA,NSACA4~~~~A,N
L,NS,A,ACA,NSACA6~~~~A,N
M,NS,B,MRW,NSMRW3~~~~A,S
M,NS,B,HWL,NSHWL3~~~~N,S
S,NS,F,ZER,NSZER~~~~~N,U
U,NS,B,KTV,NSKTV5~~~~A,N
U,NS,A,LWR,NSLWR6~~~~A,N
D,NS,B,MDD,NSMDD5~~~~A,N
L,NS,A,CSY,NSCSY7~~~~N,N
U,NS,A,DRT,NSDRT5~~~~A,N
U,NS,B,SME,NSSME3~~~~A,N
U,NS,A,KGP,NSKGP5~~~~A,N
U,NS,A,MLL,NSMLL6~~~~A,N
U,NS,B,BWK,NSBWK3~~~~A,N
U,NS,B,NUX,NSNUX2~~~~A,N
U,NS,A,KGP,NSKGP5~~~~A,N
U,NS,B,CNW,NSCNW2~~~~A,N
L,NS,A,CSY,NSCSY7~~~~N,N
U,NS,A,DRT,NSDRT5~~~~A,S
U,NS,A,MLL,NSMLL6~~~~A,N
U,NS,A,MSW,NSMSW6~~~~A,N
U,NS,B,CNW,NSCNW2~~~~A,N
U,NS,B,NUX,NSNUX2~~~~A,N
U,NS,B,BWK,NSBWK3~~~~A,S
U,NS,B,KGP,NSKGP5~~~~A,N
L,NS,A,CBR,NSCBR3~~~~A,N
U,NS,B,CNG,NSCNG2~~~~A,N
U,NS,A,MLL,NSMLL6~~~~A,N
U,NS,B,SME,NSSME3~~~~A,S
U,NS,B,TBO,NSTBO2~~~~A,S
U,NS,B,BWK,NSBWK3~~~~A,S
L,NS,A,CBR,NSCBR6~~~~A,N
M,NS,B,SME,NSSME3~~~~A,S
U,NS,B,WFV,NSWFV4~~~~A,S
U,NS,B,MRW,NSMRW3~~~~A,V
U,NS,B,HWL,NSHWL3~~~~N,V
U,NS,B,TBO,NSTBO2~~~~A,S
U,NS,B,MDD,NSMDD5~~~~A,S
D,NS,D,MDD,NSMDD5~~~~A,S
M,NS,B,GMO,NSGMO3~~~~A,S
U,NS,A,LWR,NSLWR6~~~~A,N
M,NS,B,HTN,NSHTN3~~~~N,V
M,NS,B,HWL,NSHWL3~~~~N,V
M,NS,C,WFV,NSWFV4~~~~A,S
M,NS,B,ZRL,NSZRL~~~~~N,U
U,NS,B,KTV,NSKTV5~~~~A,S
U,NS,A,LWR,NSLWR6~~~~A,S
L,NS,A,ACA,NSACA5~~~~A,N
U,NS,B,AVP,NSAVP5~~~~A,S
U,NS,B,FSH,NSFSH5~~~~A,N
U,NS,B,GMO,NSGMO3~~~~A,S
U,NS,B,MDD,NSMDD5~~~~A,S
U,NS,B,NUX,NSNUX2~~~~A,S
M,NS,C,BDW,NSBDW3~~~~N,S
M,NS,B,HTN,NSHTN3~~~~N,V
U,NS,B,BDW,NSBDW5~~~~N,S
U,NS,B,BDW,NSBDW5~~~~N,S
D,NS,B,GMO,NSGMO3~~~~A,V
U,NS,B,KTV,NSKTV5~~~~A,S
L,NS,A,ACA,NSACA5~~~~A,N
M,NS,B,BDW,NSBDW3~~~~N,V
U,NS,B,HBT,NSHBT2~~~~A,S
M,NS,B,WFV,NSWFV4~~~~A,S
U,NS,B,BDW,NSBDW6~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,D,HFX,NSHFX3~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
U,NS,B,BWT,NSBWT5~~~~N,V
U,NS,B,HWL,NSHWL5~~~~N,V
U,NS,B,APG,NSAPG6~~~~N,V
B13,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,B,ZRL,NSZRL~~~~~N,U
M,NS,B,HFX,NSHFX5~~~~N,V
M,NS,A,APG,NSAPG6~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,B,HFX,NSHFX5~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,C,GIB,NSGIB3~~~~N,V
U,NS,B,GIB,NSGIB5~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
U,NS,A,APG,NSAPG6~~~~N,V
M,NS,C,WFV,NSWFV4~~~~A,V
M,NS,C,HTN,NSHTN3~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,HBT,NSHBT2~~~~A,S
L,NS,A,CBR,NSCBR3~~~~A,N
L,NS,A,CBR,NSCBR6~~~~A,N
M,NS,C,ZRL,NSZRL~~~~~N,U
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
U,NS,A,APG,NSAPG6~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,WFV,NSWFV4~~~~A,V
M,NS,C,GIB,NSGIB3~~~~N,V
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
M,NS,C,WFV,NSWFV4~~~~A,V
M,NS,A,APG,NSAPG6~~~~N,V
B14,NS,A,CSY,NSCSY7~~~~N,N
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,B,HFX,NSHFX5~~~~N,V
M,NS,C,ZRL,NSZRL~~~~~N,U
M,NS,C,ZRL,NSZRL~~~~~N,U
M,NS,C,HTN,NSHTN3~~~~N,V
M,NS,C,HFX,NSHFX3~~~~N,V
M,NS,C,WFV,NSWFV4~~~~A,V
M,NS,B,BWT,NSBWT5~~~~N,V
M,NS,B,BWT,NSBWT3~~~~N,V
