LOCSF,MODIFIER,PROVINCE,SLOPE,SOIL_CODE,SOIL_ID,STONE
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,pt~~~,AB,A,KEG,ABKEGpt~~~N,N
U,~~~~~,AB,A,LRC,ABLRC~~~~~A,S
U,~~~~~,AB,A,MER,ABMER~~~~~N,S
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
F13,xc~~~,AB,A,MLD,ABMLDxc~~~N,N
T,~~~~~,AB,A,MMY,ABMMY~~~~~N,N
U,~~~~~,AB,A,MMW,ABMMW~~~~~N,N
U,~~~~~,AB,A,LRC,ABLRC~~~~~A,S
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,SIP,ABSIP~~~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
U,~~~~~,AB,A,COS,ABCOS~~~~~A,S
F13,xc~~~,AB,A,MLD,ABMLDxc~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N,N
U,~~~~~,AB,A,PEA,ABPEA~~~~~N,N
U,~~~~~,AB,A,HKS,ABHKS~~~~~A,S
U,~~~~~,AB,A,MNS,ABMNS~~~~~N,S
U,~~~~~,AB,A,SEN,ABSEN~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
U,~~~~~,AB,A,ALG,ABALG~~~~~N,N
U,~~~~~,AB,A,COS,ABCOS~~~~~A,S
F13,xc~~~,AB,A,MLD,ABMLDxc~~~N,N
M,~~~~~,AB,C,HZM,ABHZM~~~~~A,S
M,~~~~~,AB,C,BUD,ABBUD~~~~~N,S
U,~~~~~,AB,B,MNS,ABMNS~~~~~N,S
U,~~~~~,AB,A,DOV,ABDOV~~~~~N,N
U,~~~~~,AB,A,CHT,ABCHT~~~~~N,N
F13,~~~~~,AB,A,MRN,ABMRN~~~~~N,N
U,~~~~~,AB,A,NAM,ABNAM~~~~~N,N
U,~~~~~,AB,A,CAL,ABCAL~~~~~N,S
U,~~~~~,AB,B,COS,ABCOS~~~~~A,S
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,pt~~~,AB,A,SIP,ABSIPpt~~~N,N
T,~~~~~,AB,A,HPE,ABHPE~~~~~A,N
U,pt~~~,AB,A,MNS,ABMNSpt~~~N,S
U,~~~~~,AB,A,BRY,ABBRY~~~~~N,S
M,~~~~~,AB,B,BUD,ABBUD~~~~~N,S
U,~~~~~,AB,A,MNS,ABMNS~~~~~N,S
F13,~~~~~,AB,A,CGA,ABCGA~~~~~N,N
U,~~~~~,AB,A,DXV,ABDXV~~~~~N,S
U,~~~~~,AB,A,MNS,ABMNS~~~~~N,S
F13,xt~~~,AB,A,CGA,ABCGAxt~~~N,N
B13,~~~~~,AB,A,MSR,ABMSR~~~~~N,N
M,~~~~~,AB,B,DXV,ABDXV~~~~~N,S
F13,xt~~~,AB,A,CGA,ABCGAxt~~~N,N
U,~~~~~,AB,A,MNS,ABMNS~~~~~N,S
B13,~~~~~,AB,A,MSR,ABMSR~~~~~N,N
U,~~~~~,AB,A,DXV,ABDXV~~~~~N,S
U,~~~~~,AB,A,MNS,ABMNS~~~~~N,S
F13,xt~~~,AB,A,CGA,ABCGAxt~~~N,N
B13,~~~~~,AB,A,MSR,ABMSR~~~~~N,N
B14,~~~~~,AB,A,MSR,ABMSR~~~~~N,N
F13,xt~~~,AB,A,CGA,ABCGAxt~~~N,N
U,~~~~~,AB,A,DXV,ABDXV~~~~~N,S
U,~~~~~,AB,A,SIP,ABSIP~~~~~N,N
B14,~~~~~,AB,A,MSR,ABMSR~~~~~N,N
F13,xt~~~,AB,A,CGA,ABCGAxt~~~N,N
U,~~~~~,AB,A,DXV,ABDXV~~~~~N,S
U,~~~~~,AB,A,SIP,ABSIP~~~~~N,N
M,~~~~~,AB,B,DXV,ABDXV~~~~~N,S
F11,xt~~~,AB,A,CGA,ABCGAxt~~~N,N
U,~~~~~,AB,A,MNS,ABMNS~~~~~N,S
B13,~~~~~,AB,A,MSR,ABMSR~~~~~N,N
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,A,PCM,ABPCM~~~~~N,S
F13,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
U,~~~~~,AB,A,SVY,ABSVY~~~~~N,S
D,gl~~~,AB,A,BUF,ABBUFgl~~~N,U
U,~~~~~,AB,A,KEG,ABKEG~~~~~N,N
F11,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
D,~~~~~,AB,B,LGD,ABLGD~~~~~N,S
U,~~~~~,AB,A,STP,ABSTP~~~~~N,S
F11,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,A,PCM,ABPCM~~~~~N,S
F11,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,A,PCM,ABPCM~~~~~N,S
U,~~~~~,AB,A,SVY,ABSVY~~~~~N,S
F13,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,A,PCM,ABPCM~~~~~N,S
F13,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
U,~~~~~,AB,A,SVY,ABSVY~~~~~N,S
D,~~~~~,AB,B,PCM,ABPCM~~~~~N,S
U,~~~~~,AB,A,STP,ABSTP~~~~~N,S
F11,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,A,PCM,ABPCM~~~~~N,S
U,~~~~~,AB,A,SVY,ABSVY~~~~~N,S
F13,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
U,~~~~~,AB,A,PCM,ABPCM~~~~~N,S
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,A,SVY,ABSVY~~~~~N,S
F13,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
M,~~~~~,AB,B,PCM,ABPCM~~~~~N,S
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,A,SVY,ABSVY~~~~~N,S
F13,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
D,~~~~~,AB,B,LGD,ABLGD~~~~~N,S
U,~~~~~,AB,A,STP,ABSTP~~~~~N,S
F11,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,PCM,ABPCM~~~~~N,S
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,A,SVY,ABSVY~~~~~N,S
F13,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
D,~~~~~,AB,B,LGD,ABLGD~~~~~N,S
U,~~~~~,AB,A,STP,ABSTP~~~~~N,S
F11,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,PCM,ABPCM~~~~~N,S
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,A,SVY,ABSVY~~~~~N,S
F13,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,A,PCM,ABPCM~~~~~N,S
F13,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
U,~~~~~,AB,A,SVY,ABSVY~~~~~N,S
D,~~~~~,AB,B,LGD,ABLGD~~~~~N,S
F11,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,STP,ABSTP~~~~~N,S
D,~~~~~,AB,D,BKN,ABBKN~~~~~N,N
D,~~~~~,AB,D,STP,ABSTP~~~~~N,S
D,~~~~~,AB,C,SRT,ABSRT~~~~~N,S
U,~~~~~,AB,A,ANZ,ABANZ~~~~~N,S
F11,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,B,LGD,ABLGD~~~~~N,S
U,~~~~~,AB,A,LRC,ABLRC~~~~~A,S
U,pt~~~,AB,A,KEG,ABKEGpt~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
D,~~~~~,AB,C,SRT,ABSRT~~~~~N,S
U,~~~~~,AB,A,ANZ,ABANZ~~~~~N,S
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N,N
U,~~~~~,AB,B,LGD,ABLGD~~~~~N,S
F11,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,STP,ABSTP~~~~~N,S
D,~~~~~,AB,B,LGD,ABLGD~~~~~N,S
U,pt~~~,AB,A,KEG,ABKEGpt~~~N,N
F11,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
M,~~~~~,AB,C,PCM,ABPCM~~~~~N,S
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,B,SVY,ABSVY~~~~~N,S
F11,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,B,PCM,ABPCM~~~~~N,S
F11,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
U,~~~~~,AB,B,SVY,ABSVY~~~~~N,S
M,~~~~~,AB,C,PCM,ABPCM~~~~~N,S
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
U,~~~~~,AB,A,SVY,ABSVY~~~~~N,S
F11,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
B07,~~~~~,AB,A,DZY,ABDZY~~~~~N,N
F11,~~~~~,AB,A,WEN,ABWEN~~~~~N,N
U,~~~~~,AB,B,PCM,ABPCM~~~~~N,S
M,~~~~~,AB,C,ZBR,ABZBR~~~~~N,S
U,~~~~~,AB,A,MIL,ABMIL~~~~~N,N
B13,~~~~~,AB,A,MUS,ABMUS~~~~~N,N
M,~~~~~,AB,C,ZBR,ABZBR~~~~~N,S
U,~~~~~,AB,A,MIL,ABMIL~~~~~N,N
B13,~~~~~,AB,A,MUS,ABMUS~~~~~N,N
U,~~~~~,AB,A,MIL,ABMIL~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
M,~~~~~,AB,B,ZBR,ABZBR~~~~~N,S
U,~~~~~,AB,A,MIL,ABMIL~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,NOR,ABNOR~~~~~N,N
U,~~~~~,AB,A,MMY,ABMMY~~~~~N,N
M,~~~~~,AB,C,ZBR,ABZBR~~~~~N,S
U,~~~~~,AB,B,CPN,ABCPN~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
B14,~~~~~,AB,A,MUS,ABMUS~~~~~N,N
U,~~~~~,AB,A,MIL,ABMIL~~~~~N,N
U,~~~~~,AB,A,BMT,ABBMT~~~~~N,N
H,~~~~~,AB,B,MAR,ABMAR~~~~~N,N
U,~~~~~,AB,A,BMT,ABBMT~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
U,~~~~~,AB,A,FIR,ABFIR~~~~~N,S
U,~~~~~,AB,A,BMT,ABBMT~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
B13,~~~~~,AB,A,MUS,ABMUS~~~~~N,N
H,~~~~~,AB,B,FIR,ABFIR~~~~~N,S
U,~~~~~,AB,A,BMT,ABBMT~~~~~N,N
U,~~~~~,AB,B,MAR,ABMAR~~~~~N,N
F13,~~~~~,AB,A,MLD,ABMLD~~~~~N,N
H,~~~~~,MB,B,SLB,MBSLB~~~~~A,S
H,~~~~~,MB,B,SDI,MBSDI~~~~~A,S
H,~~~~~,MB,B,WOG,MBWOG~~~~~A,S
H,~~~~~,MB,A,LSD,MBLSD~~~~~A,N
L,~~~~~,MB,A,WMP,MBWMP~~~~~A,N
L,p~~~~,MB,A,FYL,MBFYLp~~~~A,N
H,p~~~~,MB,A,MNT,MBMNTp~~~~A,N
B14,~~~~~,MB,A,OKO,MBOKO~~~~~N,N
L,~~~~~,MB,A,THG,MBTHG~~~~~A,N
U,~~~~~,MB,A,THG,MBTHG~~~~~A,N
U,~~~~~,MB,A,PIY,MBPIY~~~~~A,V
U,~~~~~,MB,A,WHU,MBWHU~~~~~A,N
L,pd~~~,MB,A,FYL,MBFYLpd~~~A,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
B14,~~~~~,MB,A,OOK,MBOOK~~~~~N,N
U,~~~~~,MB,A,CIO,MBCIO~~~~~A,S
U,~~~~~,MB,B,LTI,MBLTI~~~~~A,N
U,~~~~~,MB,A,WGE,MBWGE~~~~~A,N
U,~~~~~,MB,B,WOG,MBWOG~~~~~A,S
F13,d~~~~,MB,A,CAY,MBCAYd~~~~A,N
B14,~~~~~,MB,A,OKO,MBOKO~~~~~N,N
B14,~~~~~,MB,A,WKW,MBWKW~~~~~N,N
F13,~~~~~,MB,A,STD,MBSTD~~~~~A,N
L,~~~~~,MB,A,THG,MBTHG~~~~~A,N
L,d~~~~,MB,A,FYL,MBFYLd~~~~A,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
B14,~~~~~,MB,A,OOK,MBOOK~~~~~N,N
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A,N
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A,N
L,p~~~~,MB,A,FYL,MBFYLp~~~~A,N
F13,~~~~~,MB,A,STD,MBSTD~~~~~A,N
L,~~~~~,MB,A,THG,MBTHG~~~~~A,N
B14,~~~~~,MB,A,OKO,MBOKO~~~~~N,N
L,p~~~~,MB,A,MEB,MBMEBp~~~~A,S
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A,N
M,~~~~~,MB,B,LTI,MBLTI~~~~~A,N
M,~~~~~,MB,A,MTG,MBMTG~~~~~A,N
H,~~~~~,MB,A,PIY,MBPIY~~~~~A,V
H,~~~~~,MB,C,$AR,MB$AR~~~~~N,V
H,~~~~~,MB,A,CRK,MBCRK~~~~~A,V
L,~~~~~,MB,A,FYL,MBFYL~~~~~A,N
L,p~~~~,MB,A,FYL,MBFYLp~~~~A,V
L,d~~~~,MB,A,GOO,MBGOOd~~~~A,N
L,d~~~~,MB,A,SFT,MBSFTd~~~~A,N
L,d~~~~,MB,A,FYL,MBFYLd~~~~A,N
L,~~~~~,MB,A,DCS,MBDCS~~~~~A,N
L,~~~~~,MB,A,RIV,MBRIV~~~~~A,N
L,pd~~~,MB,A,TRO,MBTROpd~~~A,N
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A,N
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A,N
B14,~~~~~,MB,A,OOK,MBOOK~~~~~N,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A,N
F13,~~~~~,MB,A,STD,MBSTD~~~~~A,N
L,p~~~~,MB,A,FYL,MBFYLp~~~~A,N
L,pd~~~,MB,A,FYL,MBFYLpd~~~A,N
L,~~~~~,MB,A,THG,MBTHG~~~~~A,N
H,~~~~~,MB,A,CIO,MBCIO~~~~~A,S
H,~~~~~,MB,A,SDI,MBSDI~~~~~A,N
H,~~~~~,MB,B,WOG,MBWOG~~~~~A,S
L,p~~~~,MB,A,FOY,MBFOYp~~~~N,N
H,~~~~~,MB,A,CRK,MBCRK~~~~~A,V
L,p~~~~,MB,A,FYL,MBFYLp~~~~A,N
H,~~~~~,MB,B,SDI,MBSDI~~~~~A,V
L,~~~~~,MB,A,WMP,MBWMP~~~~~A,N
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
F13,~~~~~,MB,A,STD,MBSTD~~~~~A,N
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A,N
L,p~~~~,MB,A,FYL,MBFYLp~~~~A,N
B14,~~~~~,MB,A,OOK,MBOOK~~~~~N,N
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A,N
B14,~~~~~,MB,A,OOK,MBOOK~~~~~N,N
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
F13,~~~~~,MB,A,STD,MBSTD~~~~~A,N
L,p~~~~,MB,A,FYL,MBFYLp~~~~A,N
L,pd~~~,MB,A,FYL,MBFYLpd~~~A,N
L,pd~~~,MB,A,SFT,MBSFTpd~~~A,N
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
F13,~~~~~,MB,A,STD,MBSTD~~~~~A,N
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A,N
B14,~~~~~,MB,A,OOK,MBOOK~~~~~N,N
L,p~~~~,MB,A,FYL,MBFYLp~~~~A,N
R,p~~~~,MB,A,MNT,MBMNTp~~~~A,N
R,~~~~~,MB,A,WOG,MBWOG~~~~~A,S
U,~~~~~,MB,A,WOG,MBWOG~~~~~A,V
U,~~~~~,MB,A,SDI,MBSDI~~~~~A,V
U,~~~~~,MB,A,CIO,MBCIO~~~~~A,V
U,p~~~~,MB,A,KRY,MBKRYp~~~~A,N
U,~~~~~,MB,A,WGE,MBWGE~~~~~A,N
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A,N
B14,~~~~~,MB,A,OOK,MBOOK~~~~~N,N
L,p~~~~,MB,A,MNT,MBMNTp~~~~A,N
F13,~~~~~,MB,A,KIC,MBKIC~~~~~A,N
F13,~~~~~,MB,A,RTV,MBRTV~~~~~N,N
R,~~~~~,MB,A,BYD,MBBYD~~~~~N,S
R,~~~~~,MB,B,WOG,MBWOG~~~~~A,S
R,p~~~~,MB,A,SUW,MBSUWp~~~~N,S
R,~~~~~,MB,A,PAN,MBPAN~~~~~A,N
L,~~~~~,MB,A,MDK,MBMDK~~~~~A,N
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A,N
F13,~~~~~,MB,A,STD,MBSTD~~~~~A,N
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
F13,~~~~~,MB,A,KIC,MBKIC~~~~~A,N
B14,~~~~~,MB,A,RTV,MBRTV~~~~~N,N
R,~~~~~,MB,A,WOG,MBWOG~~~~~A,S
R,p~~~~,MB,A,MEB,MBMEBp~~~~A,S
H,~~~~~,MB,C,$AR,MB$AR~~~~~N,V
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
H,~~~~~,MB,B,LTI,MBLTI~~~~~A,N
H,~~~~~,MB,B,NOL,MBNOL~~~~~N,V
H,~~~~~,MB,C,$AR,MB$AR~~~~~N,V
H,~~~~~,MB,B,LTI,MBLTI~~~~~A,N
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A,N
H,~~~~~,MB,B,NOL,MBNOL~~~~~N,V
H,~~~~~,MB,C,CAD,MBCAD~~~~~N,N
H,p~~~~,MB,A,FYL,MBFYLp~~~~A,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
H,~~~~~,MB,A,THG,MBTHG~~~~~A,N
H,~~~~~,MB,C,$AR,MB$AR~~~~~N,V
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
H,~~~~~,MB,B,NOL,MBNOL~~~~~N,V
F13,~~~~~,MB,A,CAY,MBCAY~~~~~A,N
H,p~~~~,MB,A,FYL,MBFYLp~~~~A,N
H,~~~~~,MB,B,HUT,MBHUT~~~~~N,S
H,~~~~~,MB,B,LTI,MBLTI~~~~~A,N
B14,~~~~~,MB,A,OOK,MBOOK~~~~~N,N
H,~~~~~,MB,A,PIY,MBPIY~~~~~A,V
H,p~~~~,MB,A,MEB,MBMEBp~~~~A,S
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A,N
H,~~~~~,MB,A,CRK,MBCRK~~~~~A,V
H,~~~~~,MB,C,$AR,MB$AR~~~~~N,V
H,~~~~~,MB,A,CIO,MBCIO~~~~~A,S
L,p~~~~,MB,A,PGE,MBPGEp~~~~N,N
H,~~~~~,MB,A,WOG,MBWOG~~~~~A,S
H,~~~~~,MB,C,$AR,MB$AR~~~~~N,V
H,~~~~~,MB,C,NOL,MBNOL~~~~~N,V
B14,~~~~~,MB,B,WKW,MBWKW~~~~~N,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
F13,~~~~~,MB,A,STD,MBSTD~~~~~A,N
H,~~~~~,MB,A,TFD,MBTFD~~~~~N,V
L,p~~~~,MB,A,FYL,MBFYLp~~~~A,N
H,~~~~~,MB,B,LTI,MBLTI~~~~~A,N
H,~~~~~,MB,A,SDI,MBSDI~~~~~A,N
L,~~~~~,ON,B,SUX,ONSUX~~~~~N,N
L,~~~~~,ON,A,ABM,ONABM~~~~~A,N
L,~~~~~,ON,A,EAK,ONEAK~~~~~N,N
M,~~~~~,ON,D,ZAR,ONZAR~~~~~A,V
B14,~~~~~,MB,A,BYH,MBBYH~~~~~A,N
F13,~~~~~,MB,A,KMK,MBKMK~~~~~N,N
F13,~~~~~,MB,A,STD,MBSTD~~~~~A,N
