AtcoCode,CommonName,Landmark,ModificationDateTime,Notes,StopType
1800NEH1352,Mutual Street,WOODFIELD TERR,2007-11-01T00:00:00,,BCT
1800NC42501,Myrtle Bank,,2008-11-14T00:00:00,Stop Movement,BCT
1800NC05261,Myrtle Bank,GOLF COURSE,2010-04-21T00:00:00,INDICATOR AMENDED,BCT
1800NC42502,Myrtle Bank,MYRTLE BANK,2006-05-19T00:00:00,,BCT
1800EBH0922,Myrtle St,BLACKROCK ST,2005-05-24T00:00:00,,BCT
1800EBH0921,Myrtle Street,BLACKROCK ST,2007-11-01T00:00:00,,BCT
1800WA12111,Nab Gate,HOUSE 405,2007-11-01T00:00:00,,BCT
1800WA12101,Nab Gate,HOUSE 411,2007-11-01T00:00:00,,BCT
1800NC22801,Nabbs Way,NABBS HOUSE,2007-11-01T00:00:00,,BCT
1800NC22811,Nabbs Way,HOUSE 118,2010-01-12T00:00:00,LOCATION AMENDED,BCT
1800WA15541,Nandywell,HOUSE 65,2007-11-01T00:00:00,,BCT
1800SG08301,Nangreave Rd,NEWSAGENTS,2014-02-17T00:00:00,INDICATOR AMENDED,BCT
1800SG40001,Nangreave Rd,BAMFORD ARMS,2014-02-13T00:00:00,INDICATOR AMENDED,BCT
1800SG40541,Nangreave Rd,LANDSDOWNE HSE,2014-02-13T00:00:00,INDICATOR AMENDED,BCT
1800SB30971,Nantwich Rd,HOUSE 195,2007-11-01T00:00:00,,BCT
1800SB30961,Nantwich Rd,HOUSE 108,2007-11-01T00:00:00,,BCT
1800ED08631,Napier St East,HOUSE 70,2010-03-30T00:00:00,INDICATOR AMENDED,BCT
1800NF29091,Narbonne Ave,PLAYING FIELDS,2011-03-03T00:00:00,name amended,BCT
1800SJ03221,Nash Rd,MOT TEST CENTRE,2014-09-26T00:00:00,INDICATOR AMENDED,BCT
1800SJ04171,Nash Road,GARAGE,2014-09-26T00:00:00,INDICATOR AMENDED,BCT
1800SB12311,Nathans Rd,HOUSE 16,2007-11-01T00:00:00,,BCT
1800SB12321,Nathans Rd,HOUSE 31,2007-11-01T00:00:00,,BCT
1800NEH1641,Naunton Road,NAUNTON ROAD,2007-11-01T00:00:00,,BCT
1800NEH1642,Naunton Road,NAUNTON ROAD,2007-11-01T00:00:00,,BCT
1800WK13291,Navenby Rd,HOUSES 85,2014-02-12T00:00:00,indicator amended,BCT
1800SG35831,Navigation,COSTA,2007-11-01T00:00:00,,BCT
1800SG35821,Navigation,PHARMACY,2007-11-01T00:00:00,,BCT
1800SG35841,Navigation,BUILDING SOC,2007-11-01T00:00:00,,BCT
1800ED13471,Navigation Inn,NAVIGATION PUB,2010-04-15T00:00:00,INDICATOR AMENDED,BCT
1800ED13481,Navigation Inn,TURNING CIRCLE,2010-04-15T00:00:00,INDICATOR AMENDED,BCT
1800SJE1851,Navigation Rd Metrolink East Station Entrance,WELLINGTON ROAD,2004-09-14T00:00:00,,TMU
1800SJE1841,Navigation Rd Metrolink West Station Entrance,NAVIGATION ROAD,2004-09-14T00:00:00,,TMU
1800SJR4921,Navigation Road,GROSVENOR ROAD,2005-05-24T00:00:00,,RSE
1800SJR0331,Navigation Road,GROSVENOR ROAD,2005-05-24T00:00:00,,RSE
1800ZZMANAV1,Navigation Road (Manchester Metrolink),,2004-09-14T00:00:00,,TMU
1800ZZMANAV2,Navigation Road (Manchester Metrolink),,2004-09-14T00:00:00,,TMU
1800NAVGTNR0,Navigation Road Rail Station,,2014-01-16T00:00:00,,RSE
1800SJ49371,Navigation Road Tram Stop,KINGDOM HALL,2007-11-01T00:00:00,,BCT
1800SJ49421,Navigation Road Tram Stop,KINGDOM HALL,2007-11-01T00:00:00,,BCT
1800WK00151,Naylor Ave,HOUSE 72,2013-05-18T00:00:00,INDICATOR AMENDED,BCT
1800WK00141,Naylor Ave,HOUSE 67,2013-05-18T00:00:00,INDICATOR AMENDED,BCT
1800EB32261,Naylor St,PLAYING FIELD,2007-11-01T00:00:00,,BCT
1800EB32271,Naylor St,NAYLOR CT,2010-04-15T00:00:00,INDICATOR AMENDED,BCT
1800EBH1192,Naylor Street,WINSTANLEY ROAD,2007-11-01T00:00:00,,BCT
1800EBH1191,Naylor Street,WINSTANLEY ROAD,2007-11-01T00:00:00,,BCT
1800EDH3462,Near Barrowshaw,Near Barrowshaw,2007-11-01T00:00:00,,BCT
1800EDH3461,Near Barrowshaw,Near Barrowshaw,2007-11-01T00:00:00,,BCT
1800SB42921,Nearbrook Rd,HOUSE 113,2007-11-01T00:00:00,,BCT
1800SB42881,Nearbrook Rd,HOUSE 138,2007-11-01T00:00:00,,BCT
1800SBH0481,Nearcoft Rd (Ebd),Nearcoft Rd (Ebd),2007-11-01T00:00:00,,BCT
1800SB46001,Nearcroft Rd,HOUSE 19,2007-11-01T00:00:00,,BCT
1800SB45991,Nearcroft Rd,SUB STATION,2010-05-11T00:00:00,ELS AMENDED,BCT
1800NB43871,Neighbourhood Ctr,NORTHWARDS,2010-04-20T00:00:00,INDICATOR AMENDED,BCT
1800SB08721,Neilson Court,BAGULEY PARK,2007-11-01T00:00:00,,BCT
1800SBH1581,Nell Lane,AQUEDUCT,2007-11-01T00:00:00,,BCT
1800SBH0151,Nell Lane (NW bnd),ARROWFIELD ROAD,2010-06-03T00:00:00,DIRECTION AMENDED,BCT
1800SBH1271,Nell Lane (SE bnd),E OF ARROWFLD R,2010-06-03T00:00:00,SIRECTION AMENDED,BCT
1800SBH1272,Nell Lane (Southern Cemetery),E OF ARROWFLD R,2007-11-01T00:00:00,,BCT
1800SB32901,Nell Ln,SOURTHERN HOTEL,2007-11-01T00:00:00,,BCT
1800SB33831,Nell Ln,SCHOOL,2008-02-15T00:00:00,STOP NAME AMENDED,BCT
1800SB33581,Nell Ln,SIEMENS,2007-11-01T00:00:00,,BCT
1800SB32891,Nell Ln,HIGH SCHOOL,2007-11-01T00:00:00,,BCT
1800SB33181,Nell Ln,CAR WASH,2007-11-01T00:00:00,,BCT
1800SB08931,Nell Ln,SCHOOL,2008-02-15T00:00:00,STOP NAME AMENDED,BCT
1800NF40331,Nelson St,HOUSE 104,2007-11-01T00:00:00,,BCT
1800NF40321,Nelson St,FLATS,2007-11-01T00:00:00,,BCT
1800EH48231,Nelson St,SHOPS,2007-11-01T00:00:00,,BCT
1800ED35311,Nelson Tavern,HOUSE 8,2007-11-01T00:00:00,,BCT
1800ED35301,Nelson Tavern,HOUSE 15,2007-11-01T00:00:00,,BCT
1800SG39321,Nelstop Cres,ALLOTMENT GDNS,2014-02-24T00:00:00,INDICATOR AMENDED,BCT
1800SG39331,Nelstrop Cres,HOUSE 39,2014-02-24T00:00:00,INDICATOR AMENDED,BCT
1800NC08651,Nero St,HOUSE 61/63,2007-11-01T00:00:00,,BCT
1800NC08661,Nero St,HOUSE 48,2007-11-01T00:00:00,,BCT
1800NE32581,Neston Rd,HOUSE 48,2007-11-01T00:00:00,,BCT
1800NE32571,Neston Rd,HOUSE 37,2007-11-01T00:00:00,,BCT
1800NCH4321,Neston Road,PARKGATE,2007-11-01T00:00:00,,BCT
1800NCH4323,Neston Road,PARKGATE,2005-05-24T00:00:00,,BCT
1800NCH4322,Neston Road,PARKGATE,2007-11-01T00:00:00,,BCT
1800WAH0592,Netherfield Road,WOODVALE AVENUE,2007-11-01T00:00:00,,BCT
1800WAH0591,Netherfield Road (Wbnd),WOODVALE AVENUE,2010-05-12T00:00:00,DIRECTION AMENDED,BCT
1800EDH0982,Netherhey Lane,HOLDEN FOLD LA,2007-11-01T00:00:00,,BCT
1800EDH0981,Netherhey Lane (NEbnd),HOLDEN FOLD LA,2010-10-09T00:00:00,DIRECTION AMENDED,BCT
1800EDH0682,Netherhouse Road,EDWARD ROAD,2005-05-24T00:00:00,,BCT
1800EDH0681,Netherhouse Road,EDWARD ROAD,2007-11-01T00:00:00,,BCT
1800EB09581,Nethervale Dr,CONRAN ST MKT,2010-03-30T00:00:00,INDICATOR AMENDED,BCT
1800EB09591,Nethervale Dr,HOUSE 4,2007-11-01T00:00:00,,BCT
1800NF05331,Nevile Rd,HOUSE 13,2015-06-03T00:00:00,STOP NAME AMENDED,BCT
1800NF00441,Nevile Rd,LEVER COURT,2015-06-03T00:00:00,STOP NAME AMENDED,BCT
1800NFH0261,Nevile RD (Ebd),Nevile RD (Ebd),2007-11-01T00:00:00,,BCT
1800NFH0931,Nevile Rd (Wbd),Nevile Rd (Wbd),2007-11-01T00:00:00,,BCT
1800NFH0932,Nevile Road,MOORSIDE ROAD,2015-10-19T00:00:00,,BCT
1800SG06711,Nevill Rd,HOUSE 286,2014-02-18T00:00:00,INDICATOR AMENDED,BCT
1800WK00851,Neville St,DOCTORS SURGERY,2013-05-21T00:00:00,INDICATOR AMENDED,BCT
1800WK00841,Neville St,HOUSE 621,2013-05-21T00:00:00,INDICATOR AMENDED,BCT
1800WK45981,Neville St,HOUSE 188,2007-11-01T00:00:00,,BCT
1800EB32251,New Allen St,HOUSE 45,2007-11-01T00:00:00,,BCT
1800EB17701,New Bank St,HOUSE 15,2010-04-15T00:00:00,INDICATOR AMENDED,BCT
1800NE00381,New Barn Farm,FARM,2007-11-01T00:00:00,,BCT
1800NE05391,New Barn Farm,FARM,2007-11-01T00:00:00,,BCT
1800NE00382,New Barn Farm,FARM ENTRANCE,2006-05-31T00:00:00,,BCT
1800NEH0932,New Barn Lane,MEREFIELD ST,2007-11-01T00:00:00,,BCT
1800NEH0931,New Barn Lane,MEREFIELD ST,2007-11-01T00:00:00,,BCT
1800ED41601,New Barn Rd,,2010-04-16T00:00:00,INDICATOR AMENDED,BCT
1800ED12411,New Barn Rd,,2007-11-01T00:00:00,,BCT
1800EDH2802,New Barn Road,NEW BARN ROAD,2007-11-01T00:00:00,,BCT
1800EDH2801,New Barn Road,NEW BARN ROAD,2007-11-01T00:00:00,,BCT
1800NBH1081,New Bridge St (E bnd To Def Rte),New Bridge St (E bnd To Def Rte),2011-01-12T00:00:00,,BCT
1800NBH0091,New Bridge St (W bnd to def route),DUTTON STREET,2011-01-12T00:00:00,DIRECTION AMENDED,BCT
1800NBH0092,New Bridge St(to def route),DUTTON STREET,2008-08-06T00:00:00,NAME AMENDED,BCT
1800NBH0351,New Bridge Street (to def route),TRINITY WAY,2007-11-01T00:00:00,,BCT
1800NBH0352,New Bridge Street (to def route),TRINITY WAY,2007-11-01T00:00:00,,BCT
1800WA08891,New Chapel Lane,HOUSE 65,2007-11-01T00:00:00,,BCT
1800WA17401,New Chapel Lane,HOUSE 98,2007-11-01T00:00:00,,BCT
1800WA17402,New Chapel Lane,NEW CHAPEL LANE,2006-05-24T00:00:00,,BCT
1800EBH2091,New Charter Academy,New Charter Academy,2014-04-02T00:00:00,,BCT
1800EH21071,New Charter Academy,NEW CHARTER,2010-07-07T00:00:00,STOP NAME AMENDMENT,BCT
1800EH24141,New Charter Academy,ADJ SCHOOL,2010-11-17T00:00:00,STOP MOVEMENT,BCT
1800EHH2361,New Charter Academy,New Charter Academy,2014-04-02T00:00:00,,BCT
1800WA20081,New Church Road,SURGERY,2014-05-15T00:00:00,indicator amended,BCT
1800WA20071,New Church Road,CHURCH,2014-05-15T00:00:00,indicator amended,BCT
1800NEH0171,New Church Street,ALBION STREET,2007-11-01T00:00:00,,BCT
1800NEH0172,New Church Street,ALBION STREET,2007-11-01T00:00:00,,BCT
1800EB06781,New Cross,ST.VINCENT H'SE,2010-10-15T00:00:00,NAME AMENDED,BCT
1800EDH3471,New Delph,New Delph,2007-11-01T00:00:00,,BCT
1800EDH3472,New Delph,New Delph,2007-11-01T00:00:00,,BCT
1800WAH2591,New Drake Green,NEW DRAKE GREEN,2010-01-18T00:00:00,INDICATOR AMENDED,BCT
1800WA10991,New Drake Green,HOUSE 72,2008-04-23T00:00:00,INDICATOR AMENDED,BCT
1800WAH2592,New Drake Green,NEW DRAKE GREEN,2010-01-18T00:00:00,INDICATOR AMENDED,BCT
1800ED30901,New Earth St,NEWSAGENT,2010-04-16T00:00:00,INDICATOR AMENDED,BCT
1800EH07181,New Earth St,HOUSE 1,2007-11-01T00:00:00,,BCT
1800EH07171,New Earth St,HOUSE 70,2007-11-01T00:00:00,,BCT
1800ED30891,New Earth St,ESTATE AGENTS,2010-04-16T00:00:00,INDICATOR AMENDED,BCT
1800EDH1441,New Earth St (Nbd),New Earth St (Nbd),2010-04-29T00:00:00,DIRECTION AMENDED,BCT
1800EDH1442,New Earth Street,New Earth Street,2007-11-01T00:00:00,,BCT
1800NB02141,New Elm Rd,CAR PARK,2008-07-14T00:00:00,INDICATOR AMENDED,BCT
1800NC09621,New George St,HOUSE 107,2010-04-22T00:00:00,INDICATOR AMENDED,BCT
1800NF05041,New Hall Ave,PROPERTY 821,2007-11-01T00:00:00,,BCT
1800WA20101,New Hall Lane,HOUSE 584,2014-05-15T00:00:00,indicator amended,BCT
1800WA14011,New Hall Lane,HOUSE 10,2007-11-01T00:00:00,,BCT
1800WA20111,New Hall Lane,ESTATE AGENTS,2014-05-15T00:00:00,indicator amended,BCT
1800WA17491,New Hall Lane,HOUSE 51,2007-11-01T00:00:00,,BCT
1800WA14021,New Hall Lane,HOUSE 1B,2007-11-01T00:00:00,,BCT
1800NC48171,New Hall Rd,HOUSE 545,2007-11-01T00:00:00,,BCT
1800NFH1721,New Hall Road,New Hall Road,2007-11-01T00:00:00,,BCT
1800NFH1722,New Hall Road,New Hall Road,2007-11-01T00:00:00,,BCT
1800NER0531,New Hey,RAILWAY STREET,2005-05-24T00:00:00,,RSE
1800NHEY0,New Hey Rail Station (closed),,2005-02-02T00:00:00,,RSE
1800NHEY1,New Hey Rail Station (closed),,2005-02-02T00:00:00,,RSE
1800WAH2401,New Heys Way,LEA GATE CLOSE,2007-11-01T00:00:00,,BCT
1800WAH2402,New Heys Way,LEA GATE CLOSE,2007-11-01T00:00:00,,BCT
1800NC08961,New Inn,NEW INN,2010-04-21T00:00:00,INDICATOR AMENDED,BCT
1800EH14811,New Inn,,2010-10-22T00:00:00,NEW STOP,BCT
1800NC08951,New Inn,HOUSE 742,2007-11-01T00:00:00,,BCT
1800EH14831,New Inn,NEW INN,2010-10-22T00:00:00,NEW STOP,BCT
1800NEH1911,New Inn (Nbd),PATH,2007-11-01T00:00:00,,BCT
1800NEH4011,New Inn (sbd),PATH,2007-11-01T00:00:00,,BCT
1800ZZMANIS2,New Islington (Manchester Metrolink),,2012-10-09T00:00:00,,TMU
1800ZZMANIS1,New Islington (Manchester Metrolink),,2012-10-09T00:00:00,,TMU
1800ZZMANIS3,New Islington (Manchester Metrolink),,2012-10-09T00:00:00,,TMU
1800EB32411,New Islington Tram Stop,SCHOOL,2013-01-30T00:00:00,NAME AMENDED,BCT
1800EB32421,New Islington Tram Stop,SCHOOL,2013-01-30T00:00:00,NAME AMENDED,BCT
1800WAH3062,New Lane,PADBURY WAY,2007-11-01T00:00:00,,BCT
1800WA07711,New Lane,HOUSE 5,2014-02-04T00:00:00,INDICATOR AMENDED,BCT
1800WAH3061,New Lane,PADBURY WAY,2007-11-01T00:00:00,,BCT
1800EH21911,New Lees St,KINGS PARK,2010-04-19T00:00:00,INDICATOR AMENDED,BCT
1800NE26421,New Ln,CEMETERY,2010-04-26T00:00:00,INDICATOR AMENDED,BCT
1800NE26411,New Ln,DENTAL SURGERY,2010-04-26T00:00:00,INDICATOR AMENDED,BCT
1800WKH4021,New Manchester,New Manchester,2007-11-01T00:00:00,,BCT
1800WK06201,New Market St,,2014-02-13T00:00:00,indicator amended,BCT
1800WK21691,New Market St,SHOPS,2014-02-12T00:00:00,indicator amended,BCT
1800WKH2031,New Market Street (eastbd)(to def.route),MESNES STREET,2007-11-01T00:00:00,,BCT
1800EH46581,New Mill,HOUSE 80,2007-11-01T00:00:00,,BCT
1800EH46591,New Mill,,2007-11-01T00:00:00,,BCT
1800NF27151,New Moss Rd,HAMILTON DAVIES,2007-11-01T00:00:00,,BCT
1800EB48311,New Moston Jnr Sch,HOUSE 216,2010-10-15T00:00:00,NAME AMENDED,BCT
1800EB48321,New Moston Jnr Sch,SCHOOL,2010-10-15T00:00:00,NAME AMENDED,BCT
1800EB48271,New Moston Shops,RUSTONS WALK,2010-10-15T00:00:00,NAME AMENDED,BCT
1800NBH0971,New Quay St (NWbnd to define route),New Quay St (NWbnd to define route),2010-06-03T00:00:00,DIRECTION AMENDED,BCT
1800NBH0972,New Quay Street (to define route),New Quay Street (to define route),2007-11-01T00:00:00,,BCT
1800EH06501,New Scout Mill,EXPRESS METAL,2007-11-01T00:00:00,,BCT
1800EH09651,New Scout Mill,ENGINEERS WORKS,2010-04-19T00:00:00,INDICATOR AMENDED,BCT
1800WK03291,New Seven Stars,RESTAURANT,2014-02-18T00:00:00,indicator amended,BCT
1800WK03261,New Seven Stars,HOUSE 498,2014-02-18T00:00:00,indicator amended,BCT
1800WK00101,New St,HOUSE 439,2013-05-17T00:00:00,INDICATOR AMENDED,BCT
1800EDH2892,New Street,NEW STREET,2007-11-01T00:00:00,,BCT
1800EDH2891,New Street (S Bnd),NEW STREET,2010-10-13T00:00:00,DIRECTION AMENDED,BCT
1800SJH1701,New Wellington H.S (NWbnd),WENTWORTH AVE,2010-09-08T00:00:00,DIRECTION AMENDED,BCT
1800SJH1702,New Wellington High School,WENTWORTH AVE,2007-11-01T00:00:00,,BCT
1800SJH2811,New Wellington High School (Sbnd),New Wellington High School (Sbnd),2010-09-08T00:00:00,,BCT
1800SG44791,New Zealand Rd,,2014-02-14T00:00:00,INDICATOR AMENDED,BCT
1800SG44781,New Zealand Rd,RECREATION GRDS,2014-02-17T00:00:00,INDICATOR AMENDED,BCT
1800SG44721,New Zealand Rd,INDUSTRIAL EST,2015-11-22T00:00:00,STOP LOCATION AMENDED,BCT
1800SGH0211,New Zealand Road,CARRINGTON ROAD,2007-11-01T00:00:00,,BCT
1800SGH2661,New Zealand Road,TURNCROFT LANE,2007-11-01T00:00:00,,BCT
1800SGH2662,New Zealand Road,TURNCROFT LANE,2007-11-01T00:00:00,,BCT
1800SGH0212,New Zealand Road,CARRINGTON ROAD,2007-11-01T00:00:00,,BCT
1800SB45581,Newall Green P.O.,POST OFFICE,2007-11-01T00:00:00,,BCT
1800SB45621,Newall Green P.O.,MEDICAL CTR,2007-11-01T00:00:00,,BCT
1800SB45681,Newall Green Sch,SCHOOL,2007-11-01T00:00:00,,BCT
1800SB45671,Newall Green Sch,SCHOOL,2007-11-01T00:00:00,,BCT
1800EDH1122,Newark Park Way,TANDLE HILL RD,2007-11-01T00:00:00,,BCT
1800EDH1121,Newark Park Way (NWbnd),TANDLE HILL RD,2010-10-09T00:00:00,DIRECTION AMENDED,BCT
1800EDH3691,Newark Parkway (SEbnd),Newark Parkway (SEbnd),2010-10-09T00:00:00,,BCT
1800SG39091,Newark Rd,HOUSE 221,2014-02-17T00:00:00,INDICATOR AMENDED,BCT
1800NE33411,Newark Rd,HOUSE 99,2008-03-26T00:00:00,INDICATOR AMENDED,BCT
1800NE33421,Newark Rd,HOUSE 102,2007-11-01T00:00:00,,BCT
1800NEH1022,Newark Road,NEWARK ROAD,2007-11-01T00:00:00,,BCT
1800NEH1032,Newark Road,NANTWICH AVENUE,2007-11-01T00:00:00,,BCT
1800NEH1031,Newark Road (N bnd),NANTWICH AVENUE,2011-02-09T00:00:00,DIRECTION AMENDED,BCT
1800NEH2611,Newark Road (SW bnd),NEWLANDS AVENUE,2011-02-09T00:00:00,DIRECTION AMENDED,BCT
1800WK23361,Newark St,,2014-02-12T00:00:00,indicator amended,BCT
1800WK23371,Newark St,HOUSE 144,2014-02-12T00:00:00,indicator amended,BCT
1800ZZMANBD2,Newbold (Manchester Metrolink),,2012-09-26T00:00:00,,TMU
1800ZZMANBD1,Newbold (Manchester Metrolink),,2012-09-26T00:00:00,,TMU
1800NE20961,Newbold P.O.,FLAT 9-14,2013-02-06T00:00:00,INDICATOR AMENDED,BCT
1800NE20951,Newbold P.O.,POST OFFICE,2013-02-06T00:00:00,INDICATOR AMENDED,BCT
1800SG15561,Newbridge Ln,CHURCH,2014-02-25T00:00:00,indicator amended,BCT
1800SG15571,Newbridge Ln,CAR PARK,2014-02-14T00:00:00,INDICATOR AMENDED,BCT
1800NE31681,Newby Dr,HOUSE 17,2008-02-08T00:00:00,STOP MOVED,BCT
1800SJ47751,Newby Drive,HOUSE 103,2015-02-13T00:00:00,INDICATOR AMENDED,BCT
1800SJ47731,Newby Drive,HOUSE 76,2015-02-13T00:00:00,INDICATOR AMENDED,BCT
1800SG07111,Newby Rd,INDUSTRIAL EST,2014-02-18T00:00:00,INDICATOR AMENDED,BCT
1800SG07121,Newby Rd,HOUSE 135,2014-02-18T00:00:00,INDICATOR AMENDED,BCT
1800WA12161,Newby Road,HOUSE 1,2007-11-01T00:00:00,,BCT
1800WAH0811,Newby Road,RED LANE,2007-11-01T00:00:00,,BCT
1800WA12151,Newby Road,,2007-11-01T00:00:00,,BCT
1800NE01301,Newchurch St,HOUSE 29,2007-11-01T00:00:00,,BCT
1800NB43291,Newcliffe Rd,HOUSE 82,2011-01-11T00:00:00,NAME AMENDED,BCT
1800NB43281,Newcliffe Rd,HOUSE 75,2007-11-01T00:00:00,,BCT
1800EBH1681,Newcliffe Road,AMESBURY ROAD,2010-04-23T00:00:00,removed,BCT
1800EBH1682,Newcliffe Road,AMESBURY ROAD,2010-04-23T00:00:00,removed,BCT
1800WFH0302,Newcombe Drive,CAPTAIN FOLD RD,2007-11-01T00:00:00,,BCT
1800WFH0301,Newcombe Drive (NE Bnd),CAPTAIN FOLD RD,2010-10-15T00:00:00,DIRECTION AMENDED,BCT
1800NC22551,Newcombe Rd,CARE HOME,2016-06-10T00:00:00,STOP LOCATION AMENDED,BCT
1800NC22561,Newcombe Rd,HOUSE 98,2007-11-01T00:00:00,,BCT
1800NC21381,Newcombe Rd,,2014-10-10T00:00:00,STOP LOCATION AMENDED,BCT
1800WK15481,Newearth Rd,,2016-03-23T00:00:00,STOP NAME AMENDED,BCT
1800WK15471,Newearth Rd,,2016-03-23T00:00:00,STOP NAME AMENDED,BCT
1800WF12511,Newearth Rd,LAYBY,2008-09-12T00:00:00,STOP REMOVED,BCT
1800WF21311,Newhart Gr,HOUSE 76,2014-02-21T00:00:00,indicator amended,BCT
1800WF41021,Newhart Gr,HOUSE 65,2014-02-18T00:00:00,indicator amended,BCT
1800WK32471,Newhaven Ave,HOUSE 666,2007-11-01T00:00:00,,BCT
1800WK32481,Newhaven Ave,HOUSE 657,2007-11-01T00:00:00,,BCT
1800ZZMANHY2,Newhey (Manchester Metrolink),,2012-09-12T00:00:00,,TMU
1800ZZMANHY1,Newhey (Manchester Metrolink),,2012-09-12T00:00:00,,TMU
1800NE01481,Newhey Metrolink Stop,SCHOOL,2014-06-04T00:00:00,2,BCT
1800NE02521,Newhey Metrolink Stop,HOUSE 52,2014-06-04T00:00:00,2,BCT
1800NE25061,Newhey P.O.,POST OFFICE,2009-09-02T00:00:00,NAME & INDICATOR AMENDED,BCT
1800NE25071,Newhey P.O.,HOUSE 15,2009-09-02T00:00:00,NAME & INDICATOR AMENDED,BCT
1800NEH0692,Newhey Road,NEWHEY ROAD,2007-11-01T00:00:00,,BCT
1800NEH0672,Newhey Road,NEWHEY RPAD,2007-11-01T00:00:00,,BCT
1800NE25011,Newhey Terminus,TURNING CIRCLE,2013-02-15T00:00:00,LOCATION AMENDED,BCT
