ACC_INC_TYPE,COLLISION_TYPE
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
COLLISION INVOLVING TRACK UNIT,"HEAD-ON, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
TRESPASSER,
TRESPASSER,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
CROSSING,
MAIN-TRACK TRAIN COLLISION,"REAR-END, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
R/S COLL. WITH ABANDONED VEHICLE,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
DG LEAKER,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
RUNAWAY ROLLING STOCK,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
R/S DAMAGE WITHOUT DERAIL./COLL.,
COLLISION INVOLVING TRACK UNIT,"REAR-END, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,"SIDE, ONE STANDING, OTHER MOVING"
DG LEAKER,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
UNPROTECTED OVERLAP OF AUTHORITIES,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
CROSSING,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
DG LEAKER,
MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, BOTH MOVING"
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
CROSSING,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, BOTH MOVING"
PASSENGER,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
FIRE,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
TRESPASSER,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
R/S COLL. WITH OBJECT,
MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
TRESPASSER,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SAME TRAIN, ONE MOVING, OTHER STANDING"
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, BOTH MOVING"
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN COLLISION,"SAME TRAIN, ONE MOVING, OTHER STANDING"
NON-MAIN-TRACK TRAIN DERAILMENT,
TRESPASSER,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, BOTH MOVING"
EMPLOYEE,
CROSSING,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
DERAILMENT INVOLVING TRACK UNIT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
COLLISION INVOLVING TRACK UNIT,"REAR-END, ONE STANDING, OTHER MOVING"
MAIN-TRACK SWITCH IN ABNORMAL POSITION,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN COLLISION,"SAME TRAIN, BOTH MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,"SIDE, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
COLLISION INVOLVING TRACK UNIT,"REAR-END, ONE STANDING, OTHER MOVING"
MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
R/S DAMAGE WITHOUT DERAIL./COLL.,
NON-MAIN-TRACK TRAIN DERAILMENT,
DG LEAKER,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
TRESPASSER,
TRESPASSER,
TRESPASSER,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
COLLISION INVOLVING TRACK UNIT,"REAR-END, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, BOTH MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
TRESPASSER,
NON-MAIN-TRACK TRAIN DERAILMENT,
R/S COLL. WITH OBJECT,
NON-MAIN-TRACK TRAIN DERAILMENT,
FIRE,
RUNAWAY ROLLING STOCK,
MAIN-TRACK TRAIN DERAILMENT,
COLLISION INVOLVING TRACK UNIT,"REAR-END, ONE STANDING, OTHER MOVING"
FIRE,
CROSSING,
NON-MAIN-TRACK TRAIN COLLISION,"SAME TRAIN, BOTH MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SAME TRAIN, BOTH MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
UNPROTECTED OVERLAP OF AUTHORITIES,
NON-MAIN-TRACK TRAIN COLLISION,"HEAD-ON, ONE STANDING, OTHER MOVING"
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
COLLISION INVOLVING TRACK UNIT,"REAR-END, ONE STANDING, OTHER MOVING"
CROSSING,
NON-MAIN-TRACK TRAIN COLLISION,"SAME TRAIN, ONE MOVING, OTHER STANDING"
NON-MAIN-TRACK TRAIN DERAILMENT,
COLLISION INVOLVING TRACK UNIT,"REAR-END, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
R/S COLL. WITH OBJECT,
DERAILMENT INVOLVING TRACK UNIT,
TRESPASSER,
CROSSING,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, BOTH MOVING"
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
TRESPASSER,
DG LEAKER,
CROSSING,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
TRESPASSER,
NON-MAIN-TRACK TRAIN DERAILMENT,
R/S COLL. WITH OBJECT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, BOTH MOVING"
NON-MAIN-TRACK TRAIN COLLISION,"SAME TRAIN, ONE MOVING, OTHER STANDING"
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, BOTH MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, BOTH MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
CROSSING,
NON-MAIN-TRACK TRAIN COLLISION,"HEAD-ON, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
RUNAWAY ROLLING STOCK,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, BOTH MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
DERAILMENT INVOLVING TRACK UNIT,
DERAILMENT INVOLVING TRACK UNIT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
FIRE,
NON-MAIN-TRACK TRAIN DERAILMENT,
DG LEAKER,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN COLLISION,"REAR-END, ONE STANDING, OTHER MOVING"
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CREW MEMBER INCAPACITATED,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,"SIDE, BOTH MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
CROSSING,
MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
MAIN-TRACK TRAIN DERAILMENT,
UNPROTECTED OVERLAP OF AUTHORITIES,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SAME TRAIN, ONE MOVING, OTHER STANDING"
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
FIRE,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"HEAD-ON, ONE STANDING, OTHER MOVING"
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
RUNAWAY ROLLING STOCK,
CROSSING,
COLLISION INVOLVING TRACK UNIT,"REAR-END, ONE STANDING, OTHER MOVING"
CROSSING,
CROSSING,
MAIN-TRACK TRAIN DERAILMENT,
FIRE,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
FIRE,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, BOTH MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"SAME TRAIN, BOTH MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,"SIDE, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
DG LEAKER,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN COLLISION,"REAR-END, ONE STANDING, OTHER MOVING"
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
NON-MAIN-TRACK TRAIN COLLISION,"SIDE, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN COLLISION,"REAR-END, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
TRESPASSER,
CROSSING,
NON-MAIN-TRACK TRAIN COLLISION,"SAME TRAIN, ONE MOVING, OTHER STANDING"
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
TRESPASSER,
CROSSING,
CROSSING,
NON-MAIN-TRACK TRAIN COLLISION,"SAME TRAIN, ONE MOVING, OTHER STANDING"
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
MAIN-TRACK TRAIN COLLISION,"REAR-END, ONE STANDING, OTHER MOVING"
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
R/S COLL. WITH OBJECT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
TRESPASSER,
MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
MOVEMENT EXCEEDS LIMITS OF AUTHORITY,
MAIN-TRACK SWITCH IN ABNORMAL POSITION,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
CROSSING,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
R/S COLL. WITH ABANDONED VEHICLE,
NON-MAIN-TRACK TRAIN DERAILMENT,
NON-MAIN-TRACK TRAIN DERAILMENT,
